Network,components,,,,,,largest,,,,,,pairwise,,,,,
,0.05,,,1,,,0.05,,,1,,,0.05,,,1,,
,Avg,StdDevP,XC1,Avg,StdDevP,XC2,Avg,StdDevP,XL1,Avg,StdDevP,XL2,Avg,StdDevP,XP1,Avg,StdDevP,XP2
hos_30_r2_1.txt,1.80,0.40,1.8 ± 0.4,2.00,0.00,2 ± 0,28.10,0.30,28.1 ± 0.3,28.30,0.46,28.3 ± 0.46,378.00,0.00,378 ± 0,380.80,8.40,380.8 ± 8.4
hos_35_r1_1.txt,2.80,0.40,2.8 ± 0.4,2.90,0.30,2.9 ± 0.3,30.90,0.30,30.9 ± 0.3,31.00,0.45,31 ± 0.45,464.30,7.82,464.3 ± 7.82,458.90,11.74,458.9 ± 11.74
hos_35_r2_1.txt,1.00,0.00,1 ± 0,1.20,0.40,1.2 ± 0.4,33.90,0.30,33.9 ± 0.3,33.90,0.30,33.9 ± 0.3,557.70,9.90,557.7 ± 9.9,561.00,0.00,561 ± 0
hos_40_r1_1.txt,2.50,0.50,2.5 ± 0.5,2.40,0.49,2.4 ± 0.49,36.00,0.63,36 ± 0.63,35.50,0.81,35.5 ± 0.81,630.70,27.11,630.7 ± 27.11,626.90,10.31,626.9 ± 10.31
hos_40_r2_1.txt,1.00,0.00,1 ± 0,1.10,0.30,1.1 ± 0.3,38.00,0.00,38 ± 0,37.90,0.30,37.9 ± 0.3,703.00,0.00,703 ± 0,703.00,0.00,703 ± 0
hos_45_r1_1.txt,2.70,0.46,2.7 ± 0.46,2.50,0.50,2.5 ± 0.5,41.50,0.50,41.5 ± 0.5,41.30,0.46,41.3 ± 0.46,844.60,20.09,844.6 ± 20.09,832.30,18.79,832.3 ± 18.79
hos_45_r2_1.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,43.00,0.00,43 ± 0,43.00,0.00,43 ± 0,903.00,0.00,903 ± 0,903.00,0.00,903 ± 0
hos_50_r1_1.txt,2.90,0.30,2.9 ± 0.3,2.60,0.49,2.6 ± 0.49,46.70,0.64,46.7 ± 0.64,46.30,0.78,46.3 ± 0.78,1053.40,22.54,1053.4 ± 22.54,1067.40,29.08,1067.4 ± 29.08
hos_50_r2_1.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,48.00,0.00,48 ± 0,48.00,0.00,48 ± 0,1128.00,0.00,1128 ± 0,1128.00,0.00,1128 ± 0
mac_grafo10dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,10.00,0.00,10 ± 0,10.00,0.00,10 ± 0,45.00,0.00,45 ± 0,45.00,0.00,45 ± 0
mac_grafo11dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,11.00,0.00,11 ± 0,11.00,0.00,11 ± 0,55.00,0.00,55 ± 0,55.00,0.00,55 ± 0
mac_grafo12dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,12.00,0.00,12 ± 0,12.00,0.00,12 ± 0,66.00,0.00,66 ± 0,66.00,0.00,66 ± 0
mac_grafo13dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,13.00,0.00,13 ± 0,13.00,0.00,13 ± 0,78.00,0.00,78 ± 0,78.00,0.00,78 ± 0
mac_grafo14dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,14.00,0.00,14 ± 0,14.00,0.00,14 ± 0,91.00,0.00,91 ± 0,91.00,0.00,91 ± 0
mac_grafo15dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,15.00,0.00,15 ± 0,15.00,0.00,15 ± 0,105.00,0.00,105 ± 0,105.00,0.00,105 ± 0
mac_grafo16dens30.txt,1.70,0.46,1.7 ± 0.46,1.60,0.49,1.6 ± 0.49,15.20,0.40,15.2 ± 0.4,15.20,0.40,15.2 ± 0.4,109.50,6.87,109.5 ± 6.87,108.00,6.00,108 ± 6
mac_grafo17dens30.txt,1.80,0.40,1.8 ± 0.4,1.70,0.46,1.7 ± 0.46,16.40,0.49,16.4 ± 0.49,16.40,0.49,16.4 ± 0.49,124.80,7.33,124.8 ± 7.33,124.80,7.33,124.8 ± 7.33
mac_grafo18dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,18.00,0.00,18 ± 0,18.00,0.00,18 ± 0,153.00,0.00,153 ± 0,153.00,0.00,153 ± 0
mac_grafo19dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,19.00,0.00,19 ± 0,19.00,0.00,19 ± 0,171.00,0.00,171 ± 0,171.00,0.00,171 ± 0
mac_grafo20dens30.txt,1.00,0.00,1 ± 0,1.70,0.46,1.7 ± 0.46,19.00,0.00,19 ± 0,18.20,0.40,18.2 ± 0.4,171.00,0.00,171 ± 0,156.60,7.20,156.6 ± 7.2
mac_grafo21dens30.txt,1.90,0.30,1.9 ± 0.3,1.40,0.49,1.4 ± 0.49,19.20,0.40,19.2 ± 0.4,19.40,0.49,19.4 ± 0.49,176.70,8.71,176.7 ± 8.71,171.00,0.00,171 ± 0
mac_grafo22dens30.txt,1.60,0.49,1.6 ± 0.49,1.30,0.46,1.3 ± 0.46,20.30,0.64,20.3 ± 0.64,20.60,0.66,20.6 ± 0.66,196.20,12.41,196.2 ± 12.41,196.20,12.41,196.2 ± 12.41
mac_grafo23dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,22.00,0.00,22 ± 0,22.00,0.00,22 ± 0,231.00,0.00,231 ± 0,231.00,0.00,231 ± 0
mac_grafo24dens30.txt,1.50,0.50,1.5 ± 0.5,1.90,0.30,1.9 ± 0.3,22.30,0.46,22.3 ± 0.46,22.10,0.30,22.1 ± 0.3,235.40,8.80,235.4 ± 8.8,235.40,8.80,235.4 ± 8.8
mac_grafo25dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,24.00,0.00,24 ± 0,24.00,0.00,24 ± 0,276.00,0.00,276 ± 0,276.00,0.00,276 ± 0
mac_grafo26dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,25.00,0.00,25 ± 0,25.00,0.00,25 ± 0,300.00,0.00,300 ± 0,300.00,0.00,300 ± 0
mac_grafo27dens30.txt,1.00,0.00,1 ± 0,1.40,0.49,1.4 ± 0.49,26.00,0.00,26 ± 0,25.90,0.30,25.9 ± 0.3,320.00,10.00,320 ± 10,322.50,7.50,322.5 ± 7.5
mac_grafo28dens30.txt,1.00,0.00,1 ± 0,1.10,0.30,1.1 ± 0.3,27.00,0.00,27 ± 0,27.00,0.00,27 ± 0,351.00,0.00,351 ± 0,351.00,0.00,351 ± 0
mac_grafo29dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,28.00,0.00,28 ± 0,28.00,0.00,28 ± 0,378.00,0.00,378 ± 0,378.00,0.00,378 ± 0
mac_grafo30dens30.txt,1.00,0.00,1 ± 0,1.00,0.00,1 ± 0,29.00,0.00,29 ± 0,29.00,0.00,29 ± 0,406.00,0.00,406 ± 0,406.00,0.00,406 ± 0
Grand Total,3.53,4.66,3.53 ± 4.66,3.60,4.92,3.6 ± 4.92,66.75,86.50,66.75 ± 86.5,66.79,86.74,66.79 ± 86.74,5986.79,14476.01,5986.79 ± 14476.01,5966.00,14382.70,5966 ± 14382.7
