run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_9,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.04
tune_10,Tuning/mac_grafo20dens30.txt,0.03,0.05,0.03,50,3,0.8,0.02,components,1.0,2.08
tune_1,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.47
tune_2,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.52
tune_3,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.56
tune_4,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.57
tune_5,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.68
tune_6,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.58
tune_7,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.58
tune_8,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.47
tune_9,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.51
tune_10,Tuning/bog_150_p0.1_2.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,1.0,8.47
tune_1,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.80
tune_2,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,7.0,2.76
tune_3,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.83
tune_4,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.85
tune_5,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.84
tune_6,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.85
tune_7,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,9.0,2.77
tune_8,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,8.0,2.85
tune_9,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,9.0,2.76
tune_10,Tuning/cor_dolphins-w.txt,0.03,0.05,0.03,50,3,0.9,0.01,components,7.0,2.78
