run_id,input_file,budget,node_fraction,edge_fraction,population_size,tournament_size,p_crossover,p_mutation,payoff_function,best_fitness,runtime_seconds
tune_8,Testing/cor_football-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,115.0,0.00
tune_9,Testing/cor_football-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,115.0,0.00
tune_10,Testing/cor_football-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,115.0,0.00
tune_1,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,3.65
tune_2,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_3,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_4,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_5,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_6,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_7,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_8,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_9,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_10,Testing/cor_jazz-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,198.0,0.00
tune_1,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,1.18
tune_2,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_3,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_4,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_5,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_6,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_7,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_8,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_9,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_10,Testing/cor_karate-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,34.0,0.00
tune_1,Testing/cor_lesmis-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,77.0,1.34
tune_2,Testing/cor_lesmis-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,77.0,0.00
tune_3,Testing/cor_lesmis-w.txt,0.05,0.0,0.0,50,3,0.8,0.01,largest,77.0,0.00
