input_file,run_id,payoff_function,nodes,edges,k_nodes,k_edges,weight_budget,min_val,runtime_seconds,status,output_file
mac_grafo24dens30.txt,greedy_B005_pairwise_045,pairwise,24,82,1,2,0.05,231.0,0.69,OK,outputs\reruns\greedy\greedy_B005_pairwise_045_mac_grafo24dens30.txt
mac_grafo25dens30.txt,greedy_B005_pairwise_046,pairwise,25,90,1,2,0.05,276.0,0.69,OK,outputs\reruns\greedy\greedy_B005_pairwise_046_mac_grafo25dens30.txt
mac_grafo26dens30.txt,greedy_B005_pairwise_047,pairwise,26,97,1,2,0.05,300.0,0.71,OK,outputs\reruns\greedy\greedy_B005_pairwise_047_mac_grafo26dens30.txt
mac_grafo27dens30.txt,greedy_B005_pairwise_048,pairwise,27,105,1,3,0.05,325.0,0.76,OK,outputs\reruns\greedy\greedy_B005_pairwise_048_mac_grafo27dens30.txt
mac_grafo28dens30.txt,greedy_B005_pairwise_049,pairwise,28,113,1,3,0.05,351.0,0.76,OK,outputs\reruns\greedy\greedy_B005_pairwise_049_mac_grafo28dens30.txt
mac_grafo29dens30.txt,greedy_B005_pairwise_050,pairwise,29,121,1,3,0.05,378.0,0.77,OK,outputs\reruns\greedy\greedy_B005_pairwise_050_mac_grafo29dens30.txt
mac_grafo30dens30.txt,greedy_B005_pairwise_051,pairwise,30,130,1,3,0.05,406.0,0.81,OK,outputs\reruns\greedy\greedy_B005_pairwise_051_mac_grafo30dens30.txt
cor_adjnoun-w.txt,greedy_B005_components_001,components,112,425,5,12,0.05,-18.0,56.12,OK,outputs\reruns\greedy\greedy_B005_components_001_cor_adjnoun-w.txt
cor_dolphins-w.txt,greedy_B005_components_004,components,62,159,3,4,0.05,-10.0,1.47,OK,outputs\reruns\greedy\greedy_B005_components_004_cor_dolphins-w.txt
cor_football-w.txt,greedy_B005_components_005,components,115,613,5,18,0.05,-1.0,282.42,OK,outputs\reruns\greedy\greedy_B005_components_005_cor_football-w.txt
cor_karate-w.txt,greedy_B005_components_007,components,34,78,1,2,0.05,-5.0,0.70,OK,outputs\reruns\greedy\greedy_B005_components_007_cor_karate-w.txt
cor_lesmis-w.txt,greedy_B005_components_008,components,77,254,3,7,0.05,-23.0,5.00,OK,outputs\reruns\greedy\greedy_B005_components_008_cor_lesmis-w.txt
cor_n050plai01.txt,greedy_B005_components_009,components,50,137,2,4,0.05,-2.0,1.10,OK,outputs\reruns\greedy\greedy_B005_components_009_cor_n050plai01.txt
cor_n100plai01.txt,greedy_B005_components_010,components,100,285,5,8,0.05,-2.0,15.87,OK,outputs\reruns\greedy\greedy_B005_components_010_cor_n100plai01.txt
cor_n150plai01.txt,greedy_B005_components_011,components,150,435,7,13,0.05,-3.0,127.65,OK,outputs\reruns\greedy\greedy_B005_components_011_cor_n150plai01.txt
cor_n200plai01.txt,greedy_B005_components_012,components,200,577,10,17,0.05,-3.0,553.26,OK,outputs\reruns\greedy\greedy_B005_components_012_cor_n200plai01.txt
cor_n250plai01.txt,greedy_B005_components_013,components,250,716,12,21,0.05,-13.0,1517.34,OK,outputs\reruns\greedy\greedy_B005_components_013_cor_n250plai01.txt
cor_n300plai01.txt,greedy_B005_components_014,components,300,868,15,26,0.05,-9.0,4360.92,OK,outputs\reruns\greedy\greedy_B005_components_014_cor_n300plai01.txt
