Running Summary
===============

Total runs: 19200
Successful runs: 19200
Failed runs: 0

Average fitness by parameter combination:
--------------------------------------------------
Budget=0.05, Pop=100, Tour=3, Cross=0.9, Mut=0.02: Avg=1026.35 (n=240)
Budget=0.05, Pop=100, Tour=3, Cross=0.8, Mut=0.01: Avg=1026.40 (n=240)
Budget=0.5, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=1026.40 (n=240)
Budget=0.15, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=1026.55 (n=240)
Budget=1.0, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=1026.62 (n=240)
Budget=0.5, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=1026.71 (n=240)
Budget=0.05, Pop=100, Tour=5, Cross=0.8, Mut=0.01: Avg=1026.78 (n=240)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.02: Avg=1026.80 (n=240)
Budget=0.05, Pop=100, Tour=5, Cross=0.9, Mut=0.01: Avg=1027.00 (n=240)
Budget=0.5, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=1027.10 (n=240)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.02: Avg=1028.37 (n=240)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.02: Avg=1028.45 (n=240)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.02: Avg=1028.64 (n=240)
Budget=1.0, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=1028.88 (n=240)
Budget=0.05, Pop=50, Tour=5, Cross=0.9, Mut=0.01: Avg=1028.96 (n=240)
Budget=0.05, Pop=50, Tour=3, Cross=0.9, Mut=0.01: Avg=1029.27 (n=240)
Budget=0.05, Pop=50, Tour=3, Cross=0.8, Mut=0.01: Avg=1030.04 (n=240)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.02: Avg=1030.62 (n=240)
Budget=0.05, Pop=50, Tour=5, Cross=0.8, Mut=0.01: Avg=1031.00 (n=240)
