0 ['50', '44', '27', '3', '28', '46']
1 ['50', '44', '27', '3', '28', '46']
2 ['50', '44', '27', '3', '28', '46']
3 ['50', '44', '27', '3', '28', '46']
4 ['50', '44', '27', '3', '28', '46']
5 ['50', '44', '27', '3', '28', '46']
6 ['50', '44', '27', '3', '28', '46']
7 ['50', '44', '27', '3', '28', '46']
8 ['50', '44', '27', '3', '28', '46']
9 ['50', '44', '27', '3', '28', '46']
20 ['16', '8', '11', '21', '22', '1']
21 ['16', '8', '11', '21', '22', '1']
22 ['16', '8', '11', '21', '22', '1']
23 ['16', '8', '11', '21', '22', '1']
24 ['16', '8', '11', '21', '22', '1']
25 ['16', '8', '11', '21', '22', '1']
26 ['16', '8', '11', '21', '22', '1']
27 ['16', '8', '11', '21', '22', '1']
28 ['16', '8', '11', '21', '22', '1']
29 ['16', '8', '11', '21', '22', '1']
40 ['5', '48', '25', '29', '16', '61']
41 ['5', '48', '25', '29', '16', '61']
42 ['5', '48', '25', '29', '16', '61']
43 ['5', '48', '25', '29', '16', '61']
44 ['5', '48', '25', '29', '16', '61']
45 ['5', '48', '25', '29', '16', '61']
46 ['5', '48', '25', '29', '16', '61']
47 ['5', '48', '25', '29', '16', '61']
48 ['5', '48', '25', '29', '16', '61']
49 ['5', '48', '25', '29', '16', '61']
60 ['33', '49', '25', '51', '4', '48']
61 ['33', '49', '25', '51', '4', '48']
62 ['33', '49', '25', '51', '4', '48']
63 ['33', '49', '25', '51', '4', '48']
64 ['33', '49', '25', '51', '4', '48']
65 ['33', '49', '25', '51', '4', '48']
66 ['33', '49', '25', '51', '4', '48']
67 ['33', '49', '25', '51', '4', '48']
68 ['33', '49', '25', '51', '4', '48']
69 ['33', '49', '25', '51', '4', '48']
80 ['58', '18', '47', '48', '48', '7']
81 ['58', '18', '47', '48', '48', '7']
82 ['58', '18', '47', '48', '48', '7']
83 ['58', '18', '47', '48', '48', '7']
84 ['58', '18', '47', '48', '48', '7']
85 ['58', '18', '47', '48', '48', '7']
86 ['58', '18', '47', '48', '48', '7']
87 ['58', '18', '47', '48', '48', '7']
88 ['58', '18', '47', '48', '48', '7']
89 ['58', '18', '47', '48', '48', '7']
100 ['43', '45', '13', '51', '19', '52']
101 ['43', '45', '13', '51', '19', '52']
102 ['43', '45', '13', '51', '19', '52']
103 ['43', '45', '13', '51', '19', '52']
104 ['43', '45', '13', '51', '19', '52']
105 ['43', '45', '13', '51', '19', '52']
106 ['43', '45', '13', '51', '19', '52']
107 ['43', '45', '13', '51', '19', '52']
108 ['43', '45', '13', '51', '19', '52']
109 ['43', '45', '13', '51', '19', '52']
120 ['52', '51', '21', '55', '47', '4']
121 ['52', '51', '21', '55', '47', '4']
122 ['52', '51', '21', '55', '47', '4']
123 ['52', '51', '21', '55', '47', '4']
124 ['52', '51', '21', '55', '47', '4']
125 ['52', '51', '21', '55', '47', '4']
126 ['52', '51', '21', '55', '47', '4']
127 ['52', '51', '21', '55', '47', '4']
128 ['52', '51', '21', '55', '47', '4']
129 ['52', '51', '21', '55', '47', '4']
140 ['52', '51', '45', '57', '40', '25']
141 ['52', '51', '45', '57', '40', '25']
142 ['52', '51', '45', '57', '40', '25']
143 ['52', '51', '45', '57', '40', '25']
144 ['52', '51', '45', '57', '40', '25']
145 ['52', '51', '45', '57', '40', '25']
146 ['52', '51', '45', '57', '40', '25']
147 ['52', '51', '45', '57', '40', '25']
148 ['52', '51', '25', '60', '1', '47']
