0 ['10', '3', '52', '7', '49']
1 ['10', '3', '52', '7', '49']
2 ['10', '3', '52', '7', '49']
3 ['10', '3', '52', '7', '49']
4 ['10', '3', '52', '7', '49']
5 ['10', '3', '52', '7', '49']
6 ['10', '3', '52', '7', '49']
7 ['10', '3', '52', '7', '49']
8 ['10', '3', '52', '7', '49']
9 ['10', '3', '52', '7', '49']
20 ['55', '13', '44', '53', '22']
21 ['55', '13', '44', '53', '22']
22 ['55', '13', '44', '53', '22']
23 ['55', '13', '44', '53', '22']
24 ['55', '13', '44', '53', '22']
25 ['55', '13', '44', '53', '22']
26 ['55', '13', '44', '53', '22']
27 ['55', '13', '44', '53', '22']
28 ['55', '13', '44', '53', '22']
29 ['55', '13', '44', '53', '22']
40 ['42', '10', '45', '52', '45']
41 ['42', '10', '45', '52', '45']
42 ['42', '10', '45', '52', '45']
43 ['42', '10', '45', '52', '45']
44 ['42', '10', '45', '52', '45']
45 ['42', '10', '45', '52', '45']
46 ['42', '10', '45', '52', '45']
47 ['42', '10', '45', '52', '45']
48 ['42', '10', '45', '52', '45']
49 ['42', '10', '45', '52', '45']
60 ['56', '15', '55', '57', '60']
61 ['56', '15', '55', '57', '60']
62 ['56', '15', '55', '57', '60']
63 ['56', '15', '55', '57', '60']
64 ['56', '15', '55', '57', '60']
65 ['56', '15', '55', '57', '60']
66 ['56', '15', '55', '57', '60']
67 ['56', '15', '55', '57', '60']
68 ['56', '15', '55', '57', '60']
69 ['56', '15', '55', '57', '60']
80 ['23', '2', '36', '38', '24']
81 ['23', '2', '36', '38', '24']
82 ['23', '2', '36', '38', '24']
83 ['23', '2', '36', '38', '24']
84 ['23', '2', '36', '38', '24']
85 ['23', '2', '36', '38', '24']
86 ['23', '2', '36', '38', '24']
87 ['23', '2', '36', '38', '24']
88 ['23', '2', '36', '38', '24']
89 ['23', '2', '36', '38', '24']
100 ['3', '47', '2', '35', '41']
101 ['3', '47', '2', '35', '41']
102 ['3', '47', '2', '35', '41']
103 ['3', '47', '2', '35', '41']
104 ['3', '47', '2', '35', '41']
105 ['3', '47', '2', '35', '41']
106 ['3', '47', '2', '35', '41']
107 ['3', '47', '2', '35', '41']
108 ['3', '47', '2', '35', '41']
109 ['3', '47', '2', '35', '41']
120 ['0', '30', '15', '39', '21']
121 ['0', '30', '15', '39', '21']
122 ['0', '30', '15', '39', '21']
123 ['0', '30', '15', '39', '21']
124 ['0', '30', '15', '39', '21']
125 ['0', '30', '15', '39', '21']
126 ['0', '30', '15', '39', '21']
127 ['0', '30', '15', '39', '21']
128 ['0', '30', '15', '39', '21']
129 ['0', '30', '15', '39', '21']
140 ['59', '46', '17', '24', '18']
141 ['59', '46', '17', '24', '18']
142 ['59', '46', '17', '24', '18']
143 ['59', '46', '17', '24', '18']
144 ['59', '46', '17', '24', '18']
145 ['59', '46', '17', '24', '18']
146 ['59', '46', '17', '24', '18']
147 ['59', '46', '17', '24', '18']
148 ['59', '46', '17', '24', '18']
149 ['59', '46', '17', '24', '18']
160 ['9', '45', '18', '58', '43']
161 ['9', '45', '18', '58', '43']
