0 ['56', '41', '58', '55', '49', '12', '54', '21']
1 ['56', '41', '58', '55', '49', '12', '54', '21']
2 ['56', '41', '58', '55', '49', '12', '54', '21']
3 ['56', '41', '58', '55', '49', '12', '54', '21']
4 ['56', '41', '58', '55', '49', '12', '54', '21']
5 ['56', '41', '58', '55', '49', '12', '54', '21']
6 ['56', '41', '58', '55', '49', '12', '54', '21']
7 ['56', '41', '58', '55', '49', '12', '54', '21']
8 ['56', '41', '58', '55', '49', '12', '54', '21']
9 ['56', '41', '58', '55', '49', '12', '54', '21']
20 ['21', '42', '29', '60', '27', '18', '51', '31']
21 ['21', '42', '29', '60', '27', '18', '51', '31']
22 ['21', '42', '29', '60', '27', '18', '51', '31']
23 ['21', '42', '29', '60', '27', '18', '51', '31']
24 ['21', '42', '29', '60', '27', '18', '51', '31']
25 ['21', '42', '29', '60', '27', '18', '51', '31']
26 ['21', '42', '29', '60', '27', '18', '51', '31']
27 ['21', '42', '29', '60', '27', '18', '51', '31']
28 ['21', '42', '29', '60', '27', '18', '51', '31']
29 ['21', '42', '29', '60', '27', '18', '51', '31']
40 ['19', '59', '48', '27', '53', '37', '5', '46']
41 ['19', '59', '48', '27', '53', '37', '5', '46']
42 ['19', '59', '48', '27', '53', '37', '5', '46']
43 ['19', '59', '48', '27', '53', '37', '5', '46']
44 ['19', '59', '48', '27', '53', '37', '5', '46']
45 ['19', '59', '48', '27', '53', '37', '5', '46']
46 ['19', '59', '48', '27', '53', '37', '5', '46']
47 ['19', '59', '48', '27', '53', '37', '5', '46']
48 ['19', '59', '48', '27', '53', '37', '5', '46']
49 ['19', '59', '48', '27', '53', '37', '5', '46']
60 ['5', '14', '7', '27', '40', '25', '41', '19']
61 ['5', '14', '7', '27', '40', '25', '41', '19']
62 ['5', '14', '7', '27', '40', '25', '41', '19']
63 ['5', '14', '7', '27', '40', '25', '41', '19']
64 ['5', '14', '7', '27', '40', '25', '41', '19']
65 ['5', '14', '7', '27', '40', '25', '41', '19']
66 ['5', '14', '7', '27', '40', '25', '41', '19']
67 ['5', '14', '7', '27', '40', '25', '41', '19']
68 ['5', '14', '7', '27', '40', '25', '41', '19']
69 ['5', '14', '7', '27', '40', '25', '41', '19']
80 ['21', '22', '38', '2', '27', '15', '19', '55']
81 ['21', '22', '38', '2', '27', '15', '19', '55']
82 ['21', '22', '38', '2', '27', '15', '19', '55']
83 ['21', '22', '38', '2', '27', '15', '19', '55']
84 ['21', '22', '38', '2', '27', '15', '19', '55']
85 ['21', '22', '38', '2', '27', '15', '19', '55']
86 ['21', '22', '38', '2', '27', '15', '19', '55']
87 ['21', '22', '38', '2', '27', '15', '19', '55']
88 ['21', '22', '38', '2', '27', '15', '19', '55']
89 ['21', '22', '38', '2', '27', '15', '19', '55']
100 ['46', '24', '55', '5', '34', '61', '43', '52']
101 ['46', '24', '55', '5', '34', '61', '43', '52']
102 ['46', '24', '55', '5', '34', '61', '43', '52']
103 ['46', '24', '55', '5', '34', '61', '43', '52']
104 ['46', '24', '55', '5', '34', '61', '43', '52']
105 ['46', '24', '55', '5', '34', '61', '43', '52']
106 ['46', '24', '55', '5', '34', '61', '43', '52']
107 ['46', '24', '55', '5', '34', '61', '43', '52']
108 ['46', '24', '55', '5', '34', '61', '43', '52']
109 ['46', '24', '55', '5', '34', '61', '43', '52']
120 ['19', '15', '47', '55', '15', '4', '52', '60']
121 ['19', '15', '47', '55', '15', '4', '52', '60']
122 ['19', '15', '47', '55', '15', '4', '52', '60']
123 ['19', '15', '47', '55', '15', '4', '52', '60']
124 ['19', '15', '47', '55', '15', '4', '52', '60']
125 ['19', '15', '47', '55', '15', '4', '52', '60']
126 ['19', '15', '47', '55', '15', '4', '52', '60']
127 ['19', '15', '47', '55', '15', '4', '52', '60']
128 ['19', '15', '47', '55', '15', '4', '52', '60']
129 ['19', '15', '47', '55', '15', '4', '52', '60']
140 ['18', '47', '22', '48', '11', '28', '23', '56']
141 ['18', '47', '22', '48', '11', '28', '23', '56']
142 ['18', '47', '22', '48', '11', '28', '23', '56']
143 ['18', '47', '22', '48', '11', '28', '23', '56']
144 ['18', '47', '22', '48', '11', '28', '23', '56']
145 ['18', '47', '22', '48', '11', '28', '23', '56']
146 ['18', '47', '22', '48', '11', '28', '23', '56']
147 ['18', '47', '22', '48', '11', '28', '23', '56']
148 ['18', '47', '22', '48', '11', '28', '23', '56']
149 ['18', '47', '22', '48', '11', '28', '23', '56']
160 ['3', '9', '8', '42', '6', '56', '54', '21']
161 ['3', '9', '8', '42', '6', '56', '54', '21']
162 ['3', '9', '8', '42', '6', '56', '54', '21']
163 ['3', '9', '8', '42', '6', '56', '54', '21']
164 ['3', '9', '8', '42', '6', '56', '54', '21']
165 ['3', '9', '8', '42', '6', '56', '54', '21']
166 ['3', '9', '8', '42', '6', '56', '54', '21']
167 ['3', '9', '8', '42', '6', '56', '54', '21']
168 ['3', '9', '8', '42', '6', '56', '54', '21']
169 ['3', '9', '8', '42', '6', '56', '54', '21']
180 ['23', '20', '31', '8', '48', '31', '23', '21']
181 ['23', '20', '31', '8', '48', '31', '23', '21']
182 ['23', '20', '31', '8', '48', '31', '23', '21']
183 ['23', '20', '31', '8', '48', '31', '23', '21']
184 ['23', '20', '31', '8', '48', '31', '23', '21']
185 ['23', '20', '31', '8', '48', '31', '23', '21']
186 ['23', '20', '31', '8', '48', '31', '23', '21']
