0 ['5', '58', '2', '57', '20', '44', '16', '31']
1 ['5', '58', '2', '57', '20', '44', '16', '31']
2 ['5', '58', '2', '57', '20', '44', '16', '31']
3 ['5', '58', '2', '57', '20', '44', '16', '31']
4 ['5', '58', '2', '57', '20', '44', '16', '31']
5 ['5', '58', '2', '57', '20', '44', '16', '31']
6 ['5', '58', '2', '57', '20', '44', '16', '31']
7 ['5', '58', '2', '57', '20', '44', '16', '31']
8 ['5', '58', '2', '57', '20', '44', '16', '31']
9 ['5', '58', '2', '57', '20', '44', '16', '31']
20 ['16', '5', '52', '23', '14', '34', '37', '58']
21 ['16', '5', '52', '23', '14', '34', '37', '58']
22 ['16', '5', '52', '23', '14', '34', '37', '58']
23 ['16', '5', '52', '23', '14', '34', '37', '58']
24 ['16', '5', '52', '23', '14', '34', '37', '58']
25 ['16', '5', '52', '23', '14', '34', '37', '58']
26 ['16', '5', '52', '23', '14', '34', '37', '58']
27 ['16', '5', '52', '23', '14', '34', '37', '58']
28 ['16', '5', '52', '23', '14', '34', '37', '58']
29 ['16', '5', '52', '23', '14', '34', '37', '58']
40 ['26', '4', '9', '3', '52', '31', '49', '51']
41 ['26', '4', '9', '3', '52', '31', '49', '51']
42 ['26', '4', '9', '3', '52', '31', '49', '51']
43 ['26', '4', '9', '3', '52', '31', '49', '51']
44 ['26', '4', '9', '3', '52', '31', '49', '51']
45 ['26', '4', '9', '3', '52', '31', '49', '51']
46 ['26', '4', '9', '3', '52', '31', '49', '51']
47 ['26', '4', '9', '3', '52', '31', '49', '51']
48 ['26', '4', '9', '3', '52', '31', '49', '51']
49 ['26', '4', '9', '3', '52', '31', '49', '51']
60 ['51', '52', '44', '60', '57', '2', '44', '41']
61 ['51', '52', '44', '60', '57', '2', '44', '41']
62 ['51', '52', '44', '60', '57', '2', '44', '41']
63 ['51', '52', '44', '60', '57', '2', '44', '41']
64 ['51', '52', '44', '60', '57', '2', '44', '41']
65 ['51', '52', '44', '60', '57', '2', '44', '41']
66 ['51', '52', '44', '60', '57', '2', '44', '41']
67 ['51', '52', '44', '60', '57', '2', '44', '41']
68 ['51', '52', '44', '60', '57', '2', '44', '41']
69 ['51', '52', '44', '60', '57', '2', '44', '41']
80 ['51', '52', '14', '12', '0', '14', '49', '51']
81 ['51', '52', '14', '12', '0', '14', '49', '51']
82 ['51', '52', '14', '12', '0', '14', '49', '51']
83 ['51', '52', '14', '12', '0', '14', '49', '51']
84 ['51', '52', '14', '12', '0', '14', '49', '51']
85 ['51', '52', '14', '12', '0', '14', '49', '51']
86 ['51', '52', '14', '12', '0', '14', '49', '51']
87 ['51', '52', '14', '12', '0', '14', '49', '51']
88 ['51', '52', '14', '12', '0', '14', '49', '51']
89 ['51', '52', '14', '12', '0', '14', '49', '51']
100 ['52', '51', '24', '47', '28', '15', '44', '33']
101 ['52', '51', '18', '58', '1', '46', '57', '25']
102 ['52', '51', '18', '58', '1', '46', '57', '25']
103 ['52', '51', '18', '58', '1', '46', '57', '25']
104 ['52', '51', '18', '58', '1', '46', '57', '25']
105 ['52', '51', '18', '58', '1', '46', '57', '25']
106 ['52', '51', '1', '25', '23', '9', '48', '6']
107 ['52', '51', '1', '25', '23', '9', '48', '6']
108 ['52', '51', '1', '25', '23', '9', '48', '6']
109 ['52', '51', '1', '25', '23', '9', '48', '6']
110 ['52', '51', '1', '25', '23', '9', '48', '6']
111 ['52', '51', '1', '25', '23', '9', '48', '6']
112 ['52', '51', '1', '25', '23', '9', '48', '6']
113 ['52', '51', '1', '25', '23', '9', '48', '6']
114 ['52', '51', '1', '25', '23', '9', '48', '6']
115 ['52', '51', '1', '25', '23', '9', '48', '6']
116 ['52', '51', '1', '25', '23', '9', '48', '6']
127 ['51', '1', '25', '6', '52', '5', '4', '59']
128 ['51', '1', '25', '6', '52', '5', '4', '59']
129 ['51', '1', '25', '6', '52', '5', '4', '59']
130 ['51', '1', '25', '6', '52', '5', '4', '59']
131 ['51', '1', '25', '6', '52', '5', '4', '59']
132 ['51', '1', '25', '6', '52', '5', '4', '59']
133 ['51', '1', '25', '6', '52', '5', '4', '59']
134 ['51', '1', '25', '6', '52', '5', '4', '59']
135 ['51', '1', '25', '6', '52', '5', '4', '59']
136 ['51', '1', '25', '6', '52', '5', '4', '59']
137 ['51', '1', '25', '6', '52', '5', '4', '59']
148 ['1', '25', '6', '52', '5', '51', '59', '5']
149 ['1', '25', '6', '52', '5', '51', '59', '5']
150 ['1', '25', '6', '52', '51', '59', '5', '54']
151 ['1', '25', '6', '52', '51', '59', '5', '54']
152 ['1', '25', '6', '52', '51', '59', '5', '54']
153 ['1', '25', '6', '52', '51', '59', '5', '54']
154 ['1', '25', '6', '52', '51', '59', '5', '54']
155 ['1', '25', '6', '52', '51', '59', '5', '54']
156 ['1', '25', '6', '52', '51', '59', '5', '54']
157 ['1', '25', '6', '52', '51', '59', '5', '54']
158 ['1', '25', '6', '52', '51', '59', '5', '54']
159 ['1', '25', '6', '52', '51', '59', '5', '54']
160 ['1', '25', '6', '52', '51', '59', '5', '54']
171 ['1', '25', '52', '51', '59', '5', '6', '54']
172 ['1', '25', '52', '51', '59', '5', '6', '54']
173 ['1', '25', '52', '51', '59', '5', '6', '54']
174 ['1', '25', '52', '51', '59', '5', '6', '54']
175 ['1', '25', '52', '51', '59', '5', '6', '54']
176 ['1', '25', '52', '51', '59', '5', '6', '54']
177 ['1', '25', '52', '51', '59', '5', '6', '54']
