0 ['47', '0', '5', '24', '22']
298 ['52', '51', '25', '6', '37']
309 ['51', '25', '6', '52', '59']
310 ['51', '25', '6', '52', '59']
311 ['51', '25', '6', '52', '59']
312 ['51', '25', '6', '52', '59']
313 ['51', '25', '6', '52', '59']
314 ['51', '25', '6', '52', '59']
315 ['51', '25', '6', '52', '59']
316 ['51', '25', '6', '52', '59']
317 ['51', '25', '6', '52', '59']
318 ['51', '25', '6', '52', '59']
329 ['25', '6', '52', '51', '54']
330 ['25', '6', '52', '51', '54']
331 ['25', '6', '52', '51', '54']
332 ['25', '6', '52', '51', '54']
333 ['25', '6', '52', '51', '54']
334 ['25', '6', '52', '51', '54']
335 ['25', '6', '52', '51', '54']
336 ['25', '6', '52', '51', '54']
337 ['25', '6', '52', '51', '54']
338 ['25', '6', '52', '51', '54']
339 ['25', '6', '52', '51', '54']
350 ['6', '52', '51', '25', '1']
351 ['6', '52', '51', '25', '1']
352 ['6', '52', '51', '25', '1']
353 ['6', '52', '51', '25', '1']
354 ['6', '52', '51', '25', '1']
355 ['6', '52', '51', '25', '1']
356 ['6', '52', '51', '25', '1']
357 ['6', '52', '51', '25', '1']
358 ['6', '52', '51', '25', '1']
359 ['6', '52', '51', '25', '1']
370 ['52', '51', '25', '6', '54']
371 ['52', '51', '25', '6', '54']
372 ['52', '51', '25', '6', '54']
373 ['52', '51', '25', '6', '54']
374 ['52', '51', '25', '6', '54']
375 ['52', '51', '25', '6', '54']
376 ['52', '51', '25', '6', '54']
377 ['52', '51', '25', '6', '54']
378 ['52', '51', '25', '6', '54']
379 ['52', '51', '25', '6', '54']
390 ['52', '51', '25', '6', '59']
391 ['52', '51', '25', '6', '59']
392 ['52', '51', '25', '6', '59']
393 ['52', '51', '25', '6', '59']
394 ['52', '51', '25', '6', '59']
395 ['52', '51', '25', '6', '59']
396 ['52', '51', '25', '6', '59']
397 ['52', '51', '25', '6', '59']
398 ['52', '51', '25', '6', '59']
399 ['52', '51', '25', '6', '59']
410 ['52', '51', '25', '6', '1']
411 ['52', '51', '25', '6', '1']
412 ['52', '51', '25', '6', '1']
413 ['52', '51', '25', '6', '1']
414 ['52', '51', '25', '6', '1']
415 ['52', '51', '25', '6', '1']
416 ['52', '51', '25', '6', '1']
417 ['52', '51', '25', '6', '1']
418 ['52', '51', '25', '6', '1']
419 ['52', '51', '25', '6', '1']
430 ['52', '51', '6', '25', '59']
431 ['52', '51', '6', '25', '59']
432 ['52', '51', '6', '25', '59']
433 ['52', '51', '6', '25', '59']
434 ['52', '51', '6', '25', '59']
435 ['52', '51', '6', '25', '59']
436 ['52', '51', '6', '25', '59']
437 ['52', '51', '6', '25', '59']
438 ['52', '51', '6', '25', '59']
439 ['52', '51', '6', '25', '59']
450 ['52', '51', '6', '25', '54']
451 ['52', '51', '6', '25', '54']
452 ['52', '51', '6', '25', '54']
453 ['52', '51', '6', '25', '54']
454 ['52', '51', '6', '25', '54']
455 ['52', '51', '6', '25', '54']
456 ['52', '51', '6', '25', '54']
457 ['52', '51', '6', '25', '54']
458 ['52', '51', '6', '25', '54']
459 ['52', '51', '6', '25', '54']
470 ['52', '25', '6', '51', '51']
471 ['52', '25', '6', '51', '51']
472 ['52', '25', '6', '51', '51']
473 ['52', '25', '6', '51', '51']
474 ['52', '25', '6', '51', '51']
475 ['52', '25', '6', '51', '51']
476 ['52', '25', '6', '51', '51']
477 ['25', '51', '52', '6', '54']
478 ['25', '51', '52', '6', '54']
479 ['25', '51', '52', '6', '54']
480 ['25', '51', '52', '6', '54']
481 ['25', '51', '52', '6', '54']
482 ['25', '51', '52', '6', '54']
483 ['25', '51', '52', '6', '54']
484 ['25', '51', '52', '6', '54']
485 ['25', '51', '52', '6', '54']
486 ['25', '51', '52', '6', '54']
487 ['25', '51', '52', '6', '54']
498 ['25', '51', '52', '6', '1']
499 ['25', '51', '52', '6', '1']
500 ['25', '51', '52', '6', '1']
501 ['25', '51', '52', '6', '1']
502 ['25', '51', '52', '6', '1']
