0 ['27', '34', '17']
1 ['27', '34', '17']
2 ['27', '34', '17']
3 ['27', '34', '17']
4 ['27', '34', '17']
5 ['27', '34', '17']
6 ['27', '34', '17']
7 ['27', '34', '17']
8 ['27', '34', '17']
9 ['27', '34', '17']
20 ['48', '6', '11']
21 ['48', '6', '11']
22 ['48', '6', '11']
23 ['48', '6', '11']
24 ['48', '6', '11']
25 ['48', '6', '11']
26 ['48', '6', '11']
27 ['48', '6', '11']
28 ['48', '6', '11']
29 ['48', '6', '11']
40 ['12', '14', '2']
41 ['12', '14', '2']
42 ['12', '14', '2']
43 ['12', '14', '2']
44 ['12', '14', '2']
45 ['12', '14', '2']
46 ['12', '14', '2']
47 ['12', '14', '2']
48 ['12', '14', '2']
49 ['12', '14', '2']
60 ['5', '10', '15']
61 ['5', '10', '15']
62 ['5', '10', '15']
63 ['5', '10', '15']
64 ['5', '10', '15']
65 ['5', '10', '15']
66 ['5', '10', '15']
67 ['5', '10', '15']
68 ['5', '10', '15']
69 ['5', '10', '15']
80 ['58', '30', '50']
81 ['58', '30', '50']
82 ['58', '30', '50']
83 ['58', '30', '50']
84 ['58', '30', '50']
85 ['58', '30', '50']
86 ['58', '30', '50']
87 ['58', '30', '50']
88 ['58', '30', '50']
89 ['58', '30', '50']
100 ['2', '52', '2']
101 ['2', '52', '2']
102 ['2', '52', '2']
103 ['2', '52', '2']
104 ['2', '52', '2']
105 ['2', '52', '2']
106 ['2', '52', '2']
107 ['2', '52', '2']
108 ['2', '52', '2']
109 ['2', '52', '2']
120 ['44', '1', '45']
121 ['44', '1', '45']
122 ['44', '1', '45']
123 ['44', '1', '45']
124 ['44', '1', '45']
125 ['44', '1', '45']
126 ['44', '1', '45']
127 ['44', '1', '45']
128 ['44', '1', '45']
129 ['44', '1', '45']
140 ['33', '39', '30']
141 ['33', '39', '30']
142 ['33', '39', '30']
143 ['33', '39', '30']
144 ['33', '39', '30']
145 ['33', '39', '30']
146 ['33', '39', '30']
147 ['33', '39', '30']
148 ['33', '39', '30']
149 ['33', '39', '30']
160 ['39', '53', '6']
161 ['39', '53', '6']
162 ['39', '53', '6']
163 ['39', '53', '6']
164 ['39', '53', '6']
165 ['39', '53', '6']
166 ['49', '51', '52']
167 ['51', '52', '25']
168 ['51', '52', '25']
169 ['51', '52', '25']
170 ['51', '52', '25']
171 ['51', '52', '25']
172 ['51', '52', '25']
173 ['51', '52', '25']
174 ['51', '52', '25']
175 ['51', '52', '25']
176 ['51', '52', '25']
177 ['51', '52', '25']
188 ['51', '52', '25']
189 ['51', '52', '25']
190 ['51', '52', '25']
191 ['51', '52', '25']
192 ['51', '52', '25']
193 ['51', '52', '25']
194 ['51', '52', '25']
195 ['51', '52', '25']
196 ['51', '52', '25']
197 ['51', '52', '25']
208 ['51', '52', '13']
209 ['51', '52', '13']
210 ['51', '52', '13']
211 ['51', '52', '13']
212 ['51', '52', '13']
213 ['51', '52', '13']
214 ['51', '52', '13']
215 ['51', '52', '13']
216 ['51', '52', '13']
217 ['51', '52', '6']
218 ['51', '52', '6']
219 ['51', '52', '6']
220 ['51', '52', '6']
221 ['51', '52', '6']
222 ['51', '52', '6']
223 ['51', '52', '6']
224 ['51', '52', '6']
225 ['51', '52', '6']
226 ['51', '52', '6']
227 ['51', '52', '6']
238 ['51', '52', '6']
239 ['51', '52', '6']
240 ['51', '52', '6']
241 ['51', '52', '6']
242 ['51', '52', '6']
243 ['51', '52', '6']
244 ['51', '52', '6']
245 ['51', '52', '6']
246 ['51', '52', '6']
247 ['51', '52', '6']
258 ['51', '52', '26']
259 ['51', '52', '26']
260 ['51', '52', '26']
261 ['51', '52', '26']
262 ['51', '52', '26']
263 ['51', '52', '26']
264 ['51', '52', '26']
265 ['51', '52', '26']
266 ['51', '52', '26']
267 ['51', '52', '26']
278 ['51', '52', '46']
279 ['51', '52', '46']
280 ['51', '52', '46']
281 ['51', '52', '46']
282 ['51', '52', '46']
283 ['51', '52', '46']
284 ['51', '52', '46']
285 ['51', '52', '46']
286 ['51', '52', '46']
287 ['51', '52', '46']
298 ['52', '51', '2']
299 ['52', '51', '2']
300 ['52', '51', '2']
301 ['52', '51', '2']
302 ['52', '51', '2']
303 ['52', '51', '2']
304 ['52', '51', '2']
305 ['52', '51', '2']
306 ['52', '51', '2']
307 ['52', '51', '2']
318 ['52', '51', '36']
319 ['52', '51', '36']
320 ['51', '52', '6']
321 ['51', '52', '6']
322 ['51', '52', '6']
323 ['51', '52', '6']
324 ['51', '52', '6']
325 ['51', '52', '6']
326 ['51', '52', '6']
327 ['51', '52', '6']
328 ['51', '52', '6']
329 ['51', '52', '6']
330 ['51', '52', '6']
341 ['51', '52', '0']
342 ['51', '52', '0']
343 ['51', '52', '0']
344 ['51', '52', '0']
345 ['51', '52', '0']
346 ['51', '52', '0']
347 ['51', '52', '0']
348 ['51', '52', '0']
349 ['51', '52', '0']
350 ['51', '52', '0']
361 ['51', '52', '3']
362 ['51', '52', '3']
363 ['51', '52', '3']
364 ['51', '52', '3']
365 ['51', '52', '3']
366 ['51', '52', '3']
367 ['51', '52', '3']
368 ['51', '52', '3']
369 ['51', '52', '6']
370 ['51', '52', '6']
371 ['51', '52', '6']
372 ['51', '52', '6']
373 ['51', '52', '6']
374 ['51', '52', '6']
375 ['51', '52', '6']
376 ['51', '52', '6']
377 ['51', '52', '6']
378 ['51', '52', '6']
379 ['51', '52', '6']
390 ['51', '52', '53']
391 ['51', '52', '53']
392 ['51', '52', '53']
393 ['51', '52', '53']
394 ['51', '52', '53']
395 ['51', '52', '53']
396 ['51', '52', '53']
397 ['51', '52', '53']
398 ['51', '52', '53']
399 ['51', '52', '53']
410 ['51', '52', '15']
411 ['51', '52', '15']
412 ['51', '52', '15']
413 ['51', '52', '15']
414 ['51', '52', '15']
415 ['51', '52', '15']
416 ['51', '52', '15']
417 ['51', '52', '15']
418 ['51', '52', '15']
419 ['51', '52', '15']
430 ['52', '51', '46']
431 ['52', '51', '46']
432 ['52', '51', '46']
433 ['52', '51', '46']
434 ['52', '51', '46']
435 ['52', '51', '46']
436 ['52', '51', '46']
437 ['52', '51', '46']
438 ['52', '51', '46']
439 ['52', '51', '46']
450 ['52', '51', '47']
451 ['52', '51', '47']
452 ['52', '51', '47']
453 ['52', '51', '47']
454 ['52', '51', '47']
455 ['52', '51', '47']
456 ['52', '51', '47']
457 ['52', '51', '47']
458 ['52', '51', '47']
459 ['52', '51', '47']
470 ['52', '51', '25']
471 ['52', '51', '25']
472 ['52', '51', '25']
473 ['52', '51', '25']
474 ['52', '51', '25']
475 ['52', '51', '25']
476 ['52', '51', '25']
477 ['52', '51', '25']
478 ['52', '51', '25']
479 ['52', '51', '25']
490 ['51', '52', '42']
491 ['51', '52', '42']
492 ['51', '52', '42']
493 ['51', '52', '42']
494 ['51', '52', '42']
495 ['51', '52', '42']
496 ['51', '52', '42']
497 ['51', '52', '42']
498 ['51', '52', '42']
499 ['51', '52', '42']
510 ['51', '52', '46']
511 ['51', '52', '46']
512 ['51', '52', '46']
513 ['51', '52', '46']
514 ['51', '52', '46']
515 ['51', '52', '46']
516 ['51', '52', '46']
517 ['51', '52', '46']
518 ['51', '52', '46']
519 ['51', '52', '46']
530 ['51', '52', '25']
531 ['51', '52', '25']
532 ['51', '52', '25']
533 ['51', '52', '25']
534 ['51', '52', '25']
535 ['51', '52', '25']
536 ['51', '52', '25']
537 ['51', '52', '25']
538 ['51', '52', '25']
539 ['51', '52', '25']
550 ['51', '52', '25']
551 ['51', '52', '25']
552 ['51', '52', '25']
553 ['51', '52', '25']
554 ['51', '52', '25']
555 ['51', '52', '25']
556 ['51', '52', '25']
557 ['51', '52', '25']
558 ['51', '52', '25']
559 ['51', '52', '25']
570 ['52', '51', '25']
571 ['52', '51', '25']
572 ['52', '51', '25']
573 ['52', '51', '25']
574 ['52', '51', '25']
