0 ['6', '34', '46', '49', '57', '5', '36', '42']
214 ['51', '59', '1', '52', '25', '27', '37', '59']
225 ['51', '1', '25', '59', '52', '31', '50', '23']
226 ['51', '1', '25', '59', '52', '31', '50', '23']
227 ['51', '1', '25', '59', '52', '31', '50', '23']
228 ['51', '1', '25', '59', '52', '31', '50', '23']
229 ['51', '1', '25', '59', '52', '31', '50', '23']
230 ['51', '1', '25', '59', '52', '31', '50', '23']
231 ['51', '1', '25', '59', '52', '31', '50', '23']
232 ['51', '1', '25', '59', '52', '31', '50', '23']
233 ['51', '1', '25', '59', '52', '31', '50', '23']
234 ['51', '1', '25', '59', '52', '31', '50', '23']
245 ['51', '1', '25', '52', '59', '2', '11', '4']
246 ['51', '1', '25', '52', '59', '2', '11', '4']
247 ['51', '1', '25', '52', '59', '2', '11', '4']
248 ['51', '1', '25', '52', '59', '2', '11', '4']
249 ['51', '1', '25', '52', '59', '2', '11', '4']
250 ['51', '1', '25', '52', '59', '2', '11', '4']
251 ['51', '1', '25', '52', '59', '2', '11', '4']
252 ['51', '1', '25', '52', '59', '2', '11', '4']
253 ['51', '1', '25', '52', '59', '2', '11', '4']
254 ['51', '1', '25', '52', '59', '2', '11', '4']
265 ['51', '1', '25', '52', '59', '41', '13', '10']
266 ['51', '1', '25', '52', '59', '41', '13', '10']
267 ['51', '1', '25', '52', '59', '41', '13', '10']
268 ['51', '1', '25', '52', '59', '41', '13', '10']
269 ['51', '1', '25', '52', '59', '41', '13', '10']
270 ['51', '1', '25', '52', '59', '41', '13', '10']
271 ['51', '1', '25', '52', '59', '41', '13', '10']
272 ['51', '1', '25', '52', '59', '41', '13', '10']
273 ['51', '1', '25', '52', '59', '41', '13', '10']
274 ['51', '1', '25', '52', '59', '41', '13', '10']
285 ['51', '25', '52', '59', '1', '36', '43', '19']
286 ['51', '25', '52', '59', '1', '36', '43', '19']
287 ['51', '25', '52', '59', '1', '36', '43', '19']
288 ['51', '25', '52', '59', '1', '36', '43', '19']
289 ['51', '25', '52', '59', '1', '36', '43', '19']
290 ['51', '25', '52', '59', '1', '36', '43', '19']
291 ['51', '25', '52', '59', '1', '36', '43', '19']
292 ['51', '25', '52', '59', '1', '36', '43', '19']
293 ['51', '25', '52', '59', '1', '36', '43', '19']
294 ['51', '25', '52', '59', '1', '36', '43', '19']
305 ['51', '25', '1', '59', '52', '34', '31', '6']
306 ['51', '25', '1', '59', '52', '34', '31', '6']
307 ['51', '25', '1', '59', '52', '34', '31', '6']
308 ['51', '25', '1', '59', '52', '34', '31', '6']
309 ['51', '25', '1', '59', '52', '34', '31', '6']
310 ['51', '25', '1', '59', '52', '34', '31', '6']
311 ['51', '25', '1', '59', '52', '34', '31', '6']
312 ['51', '25', '1', '59', '52', '34', '31', '6']
313 ['51', '25', '1', '59', '52', '34', '31', '6']
314 ['51', '25', '1', '59', '52', '34', '31', '6']
325 ['51', '25', '1', '59', '52', '6', '53', '53']
326 ['51', '25', '1', '59', '52', '6', '53', '53']
327 ['51', '25', '1', '59', '52', '6', '53', '53']
328 ['51', '25', '1', '59', '52', '6', '53', '53']
329 ['51', '25', '1', '59', '52', '6', '53', '53']
330 ['51', '25', '1', '59', '52', '6', '53', '53']
331 ['51', '25', '1', '59', '52', '6', '53', '53']
332 ['51', '25', '1', '59', '52', '6', '53', '53']
333 ['51', '25', '1', '59', '52', '6', '53', '53']
334 ['51', '25', '1', '59', '52', '6', '53', '53']
345 ['51', '25', '1', '59', '52', '6', '9', '52']
346 ['51', '25', '1', '59', '52', '6', '9', '52']
347 ['51', '25', '1', '59', '52', '6', '9', '52']
348 ['51', '25', '1', '59', '52', '6', '9', '52']
349 ['51', '25', '1', '59', '52', '6', '9', '52']
