0 ['34', '39', '29', '56', '52', '33', '53', '8']
1 ['34', '39', '29', '56', '52', '33', '53', '8']
2 ['34', '39', '29', '56', '52', '33', '53', '8']
3 ['34', '39', '29', '56', '52', '33', '53', '8']
4 ['34', '39', '29', '56', '52', '33', '53', '8']
5 ['34', '39', '29', '56', '52', '33', '53', '8']
6 ['34', '39', '29', '56', '52', '33', '53', '8']
7 ['34', '39', '29', '56', '52', '33', '53', '8']
8 ['34', '39', '29', '56', '52', '33', '53', '8']
9 ['34', '39', '29', '56', '52', '33', '53', '8']
20 ['0', '38', '0', '29', '12', '5', '48', '59']
21 ['0', '38', '0', '29', '12', '5', '48', '59']
22 ['0', '38', '0', '29', '12', '5', '48', '59']
23 ['0', '38', '0', '29', '12', '5', '48', '59']
24 ['0', '38', '0', '29', '12', '5', '48', '59']
25 ['0', '38', '0', '29', '12', '5', '48', '59']
26 ['0', '38', '0', '29', '12', '5', '48', '59']
27 ['0', '38', '0', '29', '12', '5', '48', '59']
28 ['0', '38', '0', '29', '12', '5', '48', '59']
29 ['0', '38', '0', '29', '12', '5', '48', '59']
40 ['42', '50', '7', '60', '2', '2', '52', '50']
41 ['42', '50', '7', '60', '2', '2', '52', '50']
42 ['42', '50', '7', '60', '2', '2', '52', '50']
43 ['42', '50', '7', '60', '2', '2', '52', '50']
44 ['42', '50', '7', '60', '2', '2', '52', '50']
45 ['42', '50', '7', '60', '2', '2', '52', '50']
46 ['42', '50', '7', '60', '2', '2', '52', '50']
47 ['42', '50', '7', '60', '2', '2', '52', '50']
48 ['42', '50', '7', '60', '2', '2', '52', '50']
49 ['42', '50', '7', '60', '2', '2', '52', '50']
60 ['28', '20', '43', '34', '60', '16', '24', '29']
61 ['28', '20', '43', '34', '60', '16', '24', '29']
62 ['28', '20', '43', '34', '60', '16', '24', '29']
63 ['28', '20', '43', '34', '60', '16', '24', '29']
64 ['28', '20', '43', '34', '60', '16', '24', '29']
65 ['28', '20', '43', '34', '60', '16', '24', '29']
66 ['28', '20', '43', '34', '60', '16', '24', '29']
67 ['28', '20', '43', '34', '60', '16', '24', '29']
68 ['28', '20', '43', '34', '60', '16', '24', '29']
69 ['28', '20', '43', '34', '60', '16', '24', '29']
80 ['18', '45', '3', '30', '61', '27', '45', '33']
