0 ['8', '1', '4', '29', '59', '23', '56', '10']
1 ['8', '1', '4', '29', '59', '23', '56', '10']
2 ['8', '1', '4', '29', '59', '23', '56', '10']
3 ['8', '1', '4', '29', '59', '23', '56', '10']
4 ['8', '1', '4', '29', '59', '23', '56', '10']
5 ['8', '1', '4', '29', '59', '23', '56', '10']
6 ['8', '1', '4', '29', '59', '23', '56', '10']
7 ['8', '1', '4', '29', '59', '23', '56', '10']
8 ['8', '1', '4', '29', '59', '23', '56', '10']
9 ['8', '1', '4', '29', '59', '23', '56', '10']
20 ['16', '3', '52', '24', '36', '26', '9', '51']
21 ['16', '3', '52', '24', '36', '26', '9', '51']
22 ['16', '3', '52', '24', '36', '26', '9', '51']
23 ['16', '3', '52', '24', '36', '26', '9', '51']
24 ['16', '3', '52', '24', '36', '26', '9', '51']
25 ['16', '3', '52', '24', '36', '26', '9', '51']
26 ['16', '3', '52', '24', '36', '26', '9', '51']
27 ['16', '3', '52', '24', '36', '26', '9', '51']
28 ['16', '3', '52', '24', '36', '26', '9', '51']
29 ['16', '3', '52', '24', '36', '26', '9', '51']
40 ['52', '23', '51', '42', '4', '39', '57', '25']
41 ['52', '23', '51', '42', '4', '39', '57', '25']
42 ['52', '23', '51', '42', '4', '39', '57', '25']
43 ['52', '23', '51', '42', '4', '39', '57', '25']
44 ['52', '23', '51', '42', '4', '39', '57', '25']
45 ['52', '23', '51', '42', '4', '39', '57', '25']
46 ['52', '23', '51', '42', '4', '39', '57', '25']
47 ['52', '23', '51', '42', '4', '39', '57', '25']
48 ['52', '23', '51', '42', '4', '39', '57', '25']
49 ['52', '23', '51', '42', '4', '39', '57', '25']
50 ['52', '23', '51', '42', '4', '39', '57', '25']
61 ['51', '25', '3', '42', '45', '12', '52', '50']
62 ['51', '25', '3', '42', '45', '12', '52', '50']
63 ['51', '25', '3', '42', '45', '12', '52', '50']
64 ['51', '25', '3', '42', '45', '12', '52', '50']
65 ['51', '25', '3', '42', '45', '12', '52', '50']
66 ['51', '25', '52', '9', '41', '4', '9', '6']
67 ['51', '25', '52', '9', '4', '9', '6', '25']
68 ['51', '25', '52', '9', '4', '9', '6', '25']
69 ['51', '25', '52', '9', '4', '9', '6', '25']
70 ['51', '25', '52', '9', '4', '9', '6', '25']
71 ['51', '25', '52', '9', '4', '9', '6', '25']
72 ['51', '25', '52', '9', '4', '9', '6', '25']
73 ['51', '25', '52', '9', '4', '9', '6', '25']
74 ['51', '25', '52', '9', '4', '9', '6', '25']
75 ['51', '25', '52', '9', '4', '9', '6', '25']
76 ['51', '25', '52', '9', '4', '9', '6', '25']
77 ['51', '25', '52', '9', '4', '9', '6', '25']
88 ['51', '6', '25', '21', '52', '27', '52', '36']
89 ['51', '6', '25', '21', '52', '27', '52', '36']
90 ['51', '6', '25', '21', '52', '27', '52', '36']
91 ['51', '6', '25', '21', '52', '27', '52', '36']
92 ['51', '6', '25', '21', '52', '27', '52', '36']
93 ['51', '6', '25', '21', '52', '27', '52', '36']
94 ['51', '6', '25', '21', '52', '27', '52', '36']
95 ['51', '6', '25', '21', '52', '27', '52', '36']
96 ['51', '6', '25', '21', '52', '27', '52', '36']
97 ['51', '6', '25', '21', '52', '27', '52', '36']
108 ['51', '6', '25', '52', '24', '26', '43', '39']
109 ['51', '6', '25', '52', '24', '26', '43', '39']
110 ['51', '6', '25', '52', '24', '26', '43', '39']
111 ['51', '6', '25', '52', '24', '26', '43', '39']
112 ['51', '6', '52', '25', '24', '11', '49', '59']
113 ['51', '6', '52', '25', '24', '11', '49', '59']
114 ['51', '6', '52', '25', '24', '11', '49', '59']
115 ['51', '6', '52', '25', '24', '11', '49', '59']
116 ['51', '6', '52', '25', '24', '11', '49', '59']
117 ['51', '6', '52', '25', '24', '11', '49', '59']
118 ['51', '6', '52', '25', '24', '11', '49', '59']
119 ['51', '6', '52', '25', '24', '11', '49', '59']
120 ['51', '6', '52', '25', '24', '11', '49', '59']
121 ['51', '6', '52', '25', '24', '11', '49', '59']
122 ['51', '6', '52', '25', '24', '11', '49', '59']
133 ['51', '6', '52', '25', '59', '45', '24', '38']
134 ['51', '6', '52', '25', '59', '45', '24', '38']
135 ['51', '6', '52', '25', '59', '45', '24', '38']
136 ['51', '6', '52', '25', '59', '45', '24', '38']
137 ['51', '6', '52', '25', '59', '45', '24', '38']
138 ['51', '6', '52', '25', '59', '45', '24', '38']
139 ['51', '6', '52', '25', '59', '45', '24', '38']
140 ['51', '6', '52', '25', '59', '45', '24', '38']
141 ['51', '6', '52', '25', '59', '45', '24', '38']
142 ['51', '6', '52', '25', '59', '45', '24', '38']
153 ['51', '6', '52', '25', '44', '59', '26', '5']
154 ['51', '6', '52', '25', '44', '59', '26', '5']
155 ['51', '6', '52', '25', '59', '5', '11', '1']
156 ['51', '6', '52', '25', '59', '5', '11', '1']
157 ['51', '6', '52', '25', '59', '5', '11', '1']
158 ['51', '6', '52', '25', '59', '5', '11', '1']
159 ['51', '6', '52', '25', '59', '5', '11', '1']
160 ['51', '6', '52', '25', '59', '5', '11', '1']
161 ['51', '6', '52', '25', '59', '5', '11', '1']
162 ['51', '6', '52', '25', '59', '5', '11', '1']
163 ['51', '6', '52', '25', '59', '5', '11', '1']
164 ['51', '6', '52', '25', '59', '5', '11', '1']
165 ['51', '6', '52', '25', '59', '5', '11', '1']
176 ['51', '6', '52', '25', '59', '5', '1', '9']
177 ['51', '6', '52', '25', '59', '5', '1', '9']
178 ['51', '6', '52', '25', '59', '5', '1', '9']
179 ['51', '6', '52', '25', '59', '5', '1', '9']
180 ['51', '6', '52', '25', '59', '5', '1', '9']
181 ['51', '6', '52', '25', '59', '5', '1', '9']
182 ['51', '6', '52', '25', '59', '5', '1', '9']
183 ['51', '6', '52', '25', '59', '5', '1', '9']
184 ['51', '6', '52', '25', '59', '5', '1', '9']
185 ['51', '6', '52', '25', '59', '5', '1', '9']
196 ['51', '6', '52', '25', '59', '5', '1', '25']
197 ['51', '6', '52', '25', '59', '5', '1', '25']
198 ['51', '6', '52', '25', '59', '5', '1', '25']
199 ['51', '6', '52', '25', '59', '5', '1', '25']
200 ['51', '6', '52', '25', '59', '5', '1', '25']
201 ['51', '6', '52', '25', '59', '5', '1', '25']
202 ['51', '52', '5', '25', '6', '59', '1', '54']
203 ['51', '52', '5', '25', '6', '59', '1', '54']
204 ['51', '52', '5', '25', '6', '59', '1', '54']
205 ['51', '52', '5', '25', '6', '59', '1', '54']
206 ['51', '52', '5', '25', '6', '59', '1', '54']
207 ['51', '52', '5', '25', '6', '59', '1', '54']
208 ['51', '52', '5', '25', '6', '59', '1', '54']
209 ['51', '52', '5', '25', '6', '59', '1', '54']
210 ['51', '52', '5', '25', '6', '59', '1', '54']
211 ['51', '52', '5', '25', '6', '59', '1', '54']
212 ['51', '52', '5', '25', '6', '59', '1', '54']
223 ['51', '52', '25', '1', '59', '6', '5', '17']
224 ['51', '52', '25', '1', '59', '6', '5', '17']
225 ['51', '52', '25', '1', '59', '6', '5', '17']
226 ['51', '52', '25', '1', '59', '6', '5', '17']
227 ['51', '52', '25', '1', '59', '6', '5', '17']
228 ['51', '52', '25', '1', '59', '6', '5', '17']
229 ['51', '52', '25', '1', '59', '6', '5', '17']
230 ['51', '52', '25', '1', '59', '6', '5', '17']
231 ['51', '52', '25', '1', '59', '6', '5', '17']
232 ['51', '52', '25', '1', '59', '6', '5', '17']
243 ['52', '25', '59', '5', '51', '6', '1', '11']
244 ['52', '25', '59', '5', '51', '6', '1', '11']
245 ['52', '25', '59', '5', '51', '6', '1', '11']
246 ['52', '25', '59', '5', '51', '6', '1', '11']
247 ['52', '25', '59', '5', '51', '6', '1', '11']
248 ['52', '25', '59', '5', '51', '6', '1', '11']
249 ['52', '25', '59', '5', '51', '6', '1', '11']
250 ['52', '25', '59', '5', '51', '6', '1', '11']
251 ['52', '25', '59', '5', '51', '6', '1', '11']
252 ['52', '25', '59', '5', '51', '6', '1', '11']
263 ['52', '5', '6', '1', '51', '59', '25', '8']
264 ['52', '5', '6', '1', '51', '59', '25', '8']
265 ['52', '5', '6', '1', '51', '59', '25', '8']
266 ['52', '5', '6', '1', '51', '59', '25', '8']
267 ['52', '5', '6', '1', '51', '59', '25', '8']
268 ['52', '5', '6', '1', '51', '59', '25', '8']
269 ['52', '6', '1', '51', '59', '25', '5', '54']
270 ['52', '6', '1', '51', '59', '25', '5', '54']
271 ['52', '6', '1', '51', '59', '25', '5', '54']
272 ['52', '6', '1', '51', '59', '25', '5', '54']
273 ['52', '6', '1', '51', '59', '25', '5', '54']
274 ['52', '6', '1', '51', '59', '25', '5', '54']
275 ['52', '6', '1', '51', '59', '25', '5', '54']
276 ['52', '6', '1', '51', '59', '25', '5', '54']
277 ['52', '6', '1', '51', '59', '25', '5', '54']
278 ['52', '6', '1', '51', '59', '25', '5', '54']
279 ['52', '6', '1', '51', '59', '25', '5', '54']
290 ['6', '1', '51', '59', '5', '25', '52', '57']
291 ['6', '1', '59', '5', '25', '52', '51', '54']
292 ['6', '1', '59', '5', '25', '52', '51', '54']
293 ['6', '1', '59', '5', '25', '52', '51', '54']
294 ['6', '1', '59', '5', '25', '52', '51', '54']
295 ['6', '1', '59', '5', '25', '52', '51', '54']
296 ['6', '1', '59', '5', '25', '52', '51', '54']
297 ['6', '1', '59', '5', '25', '52', '51', '54']
298 ['6', '1', '59', '5', '25', '52', '51', '54']
299 ['6', '1', '59', '5', '25', '52', '51', '54']
300 ['6', '1', '59', '5', '25', '52', '51', '54']
301 ['6', '1', '59', '5', '25', '52', '51', '54']
312 ['6', '1', '59', '5', '25', '52', '51', '17']
313 ['6', '1', '59', '5', '25', '52', '51', '17']
314 ['6', '1', '59', '5', '25', '52', '51', '17']
315 ['6', '1', '59', '5', '25', '52', '51', '17']
316 ['6', '1', '59', '5', '25', '52', '51', '17']
317 ['6', '1', '59', '5', '25', '52', '51', '17']
318 ['6', '1', '59', '5', '25', '52', '51', '17']
319 ['6', '1', '59', '5', '25', '52', '51', '17']
320 ['6', '1', '59', '5', '25', '52', '51', '17']
321 ['6', '1', '59', '5', '25', '52', '51', '17']
332 ['6', '1', '59', '5', '25', '52', '51', '31']
333 ['6', '1', '59', '5', '25', '52', '51', '31']
334 ['6', '1', '59', '5', '25', '52', '51', '31']
335 ['6', '1', '59', '5', '51', '52', '25', '54']
336 ['6', '1', '59', '5', '51', '52', '25', '54']
337 ['6', '1', '59', '5', '51', '52', '25', '54']
338 ['6', '1', '59', '5', '51', '52', '25', '54']
339 ['6', '1', '59', '5', '51', '52', '25', '54']
340 ['6', '1', '59', '5', '51', '52', '25', '54']
341 ['6', '1', '59', '5', '51', '52', '25', '54']
342 ['6', '1', '59', '5', '51', '52', '25', '54']
343 ['6', '1', '59', '5', '51', '52', '25', '54']
344 ['6', '1', '59', '5', '51', '52', '25', '54']
345 ['6', '1', '59', '5', '51', '52', '25', '54']
356 ['1', '59', '51', '52', '25', '5', '6', '54']
357 ['1', '59', '51', '52', '25', '5', '6', '54']
358 ['1', '59', '51', '52', '25', '5', '6', '54']
359 ['1', '59', '51', '52', '25', '5', '6', '54']
360 ['1', '59', '51', '52', '25', '5', '6', '54']
361 ['1', '59', '51', '52', '25', '5', '6', '54']
362 ['1', '59', '51', '52', '25', '5', '6', '54']
363 ['1', '59', '51', '52', '25', '5', '6', '54']
364 ['1', '59', '51', '52', '25', '5', '6', '54']
365 ['1', '59', '51', '52', '25', '5', '6', '54']
376 ['1', '59', '51', '52', '25', '5', '6', '53']
377 ['1', '59', '51', '52', '25', '5', '6', '53']
378 ['1', '59', '51', '52', '25', '5', '6', '53']
379 ['1', '59', '51', '52', '25', '5', '6', '53']
380 ['1', '59', '51', '52', '25', '5', '6', '53']
381 ['1', '59', '51', '52', '25', '5', '6', '53']
382 ['1', '59', '51', '52', '25', '5', '6', '53']
383 ['1', '59', '51', '52', '25', '5', '6', '53']
384 ['1', '59', '51', '52', '25', '5', '6', '53']
385 ['1', '59', '51', '52', '25', '5', '6', '53']
396 ['59', '51', '52', '6', '5', '1', '25', '42']
397 ['59', '51', '52', '6', '5', '1', '25', '42']
398 ['59', '51', '52', '6', '5', '1', '25', '42']
399 ['59', '51', '52', '6', '5', '1', '25', '42']
400 ['59', '51', '52', '6', '5', '1', '25', '42']
401 ['59', '51', '52', '6', '5', '1', '25', '42']
402 ['59', '51', '52', '6', '5', '1', '25', '42']
403 ['59', '51', '52', '6', '5', '1', '25', '42']
404 ['59', '51', '52', '6', '5', '1', '25', '42']
405 ['59', '51', '52', '6', '5', '1', '25', '42']
416 ['52', '6', '25', '51', '1', '5', '59', '54']
417 ['52', '6', '25', '51', '1', '5', '59', '54']
418 ['52', '6', '25', '51', '1', '5', '59', '54']
419 ['52', '6', '25', '51', '1', '5', '59', '54']
420 ['52', '6', '25', '51', '1', '5', '59', '54']
