0 ['35', '11', '32']
1 ['35', '11', '32']
2 ['35', '11', '32']
3 ['35', '11', '32']
4 ['35', '11', '32']
5 ['35', '11', '32']
6 ['35', '11', '32']
7 ['35', '11', '32']
8 ['35', '11', '32']
9 ['35', '11', '32']
20 ['49', '57', '42']
21 ['49', '57', '42']
22 ['49', '57', '42']
23 ['49', '57', '42']
24 ['49', '57', '42']
25 ['49', '57', '42']
26 ['49', '57', '42']
27 ['49', '57', '42']
28 ['49', '57', '42']
29 ['49', '57', '42']
40 ['36', '61', '29']
41 ['36', '61', '29']
42 ['36', '61', '29']
43 ['36', '61', '29']
44 ['36', '61', '29']
45 ['36', '61', '29']
46 ['36', '61', '29']
47 ['36', '61', '29']
48 ['36', '61', '29']
49 ['36', '61', '29']
60 ['57', '3', '31']
61 ['57', '3', '31']
62 ['57', '3', '31']
63 ['57', '3', '31']
64 ['57', '3', '31']
65 ['57', '3', '31']
66 ['57', '3', '31']
67 ['57', '3', '31']
68 ['57', '3', '31']
69 ['57', '3', '31']
80 ['44', '3', '25']
81 ['44', '3', '25']
82 ['44', '3', '25']
83 ['44', '3', '25']
84 ['44', '3', '25']
85 ['44', '3', '25']
86 ['44', '3', '25']
87 ['44', '3', '25']
88 ['44', '3', '25']
89 ['44', '3', '25']
100 ['34', '22', '29']
101 ['34', '22', '29']
102 ['34', '22', '29']
103 ['34', '22', '29']
104 ['34', '22', '29']
105 ['34', '22', '29']
106 ['34', '22', '29']
107 ['34', '22', '29']
108 ['34', '22', '29']
109 ['34', '22', '29']
120 ['52', '56', '14']
121 ['52', '56', '14']
122 ['52', '56', '14']
123 ['52', '56', '14']
124 ['52', '56', '14']
125 ['52', '56', '14']
126 ['52', '56', '14']
127 ['52', '56', '14']
128 ['52', '56', '14']
129 ['52', '56', '14']
140 ['59', '9', '33']
141 ['59', '9', '33']
142 ['59', '9', '33']
143 ['59', '9', '33']
144 ['59', '9', '33']
145 ['59', '9', '33']
146 ['59', '9', '33']
147 ['59', '9', '33']
148 ['59', '9', '33']
149 ['59', '9', '33']
160 ['9', '41', '61']
161 ['9', '41', '61']
162 ['9', '41', '61']
163 ['9', '41', '61']
164 ['9', '41', '61']
165 ['9', '41', '61']
166 ['9', '41', '61']
167 ['9', '41', '61']
168 ['9', '41', '61']
169 ['9', '41', '61']
180 ['14', '24', '1']
181 ['14', '24', '1']
