228 ['52', '51', '25', '6', '59', '1', '46']
229 ['25', '6', '59', '51', '52', '1', '5']
230 ['25', '6', '59', '51', '52', '1', '5']
231 ['25', '6', '59', '51', '52', '1', '5']
232 ['25', '6', '59', '51', '52', '1', '5']
233 ['25', '6', '59', '51', '52', '1', '5']
234 ['25', '6', '59', '51', '52', '1', '5']
235 ['25', '6', '59', '51', '52', '1', '5']
236 ['25', '6', '59', '51', '52', '1', '5']
237 ['25', '6', '59', '51', '52', '1', '5']
238 ['25', '6', '59', '51', '52', '1', '5']
239 ['25', '6', '59', '51', '52', '1', '5']
250 ['25', '6', '59', '51', '52', '5', '40']
251 ['25', '6', '59', '51', '52', '5', '40']
252 ['25', '6', '59', '51', '52', '5', '40']
253 ['25', '6', '59', '51', '52', '5', '40']
254 ['25', '6', '59', '51', '52', '5', '40']
255 ['25', '6', '59', '51', '52', '5', '40']
256 ['25', '6', '59', '51', '52', '5', '40']
257 ['25', '6', '59', '51', '52', '5', '40']
258 ['25', '6', '59', '51', '52', '5', '40']
259 ['25', '6', '59', '51', '52', '5', '40']
270 ['25', '6', '59', '51', '52', '5', '36']
271 ['25', '6', '59', '51', '52', '5', '36']
272 ['25', '6', '59', '51', '52', '5', '36']
273 ['25', '6', '59', '51', '52', '5', '36']
274 ['25', '6', '59', '51', '52', '5', '36']
275 ['25', '6', '59', '51', '52', '5', '36']
276 ['25', '6', '59', '51', '52', '5', '36']
277 ['25', '6', '59', '51', '52', '5', '36']
278 ['25', '6', '59', '51', '52', '5', '36']
279 ['25', '6', '59', '51', '52', '5', '36']
290 ['6', '59', '52', '25', '5', '51', '1']
291 ['6', '59', '52', '25', '5', '51', '1']
292 ['6', '59', '52', '25', '5', '51', '1']
293 ['6', '59', '52', '25', '5', '51', '1']
294 ['6', '59', '52', '25', '5', '51', '1']
295 ['6', '59', '52', '25', '5', '51', '1']
296 ['6', '59', '52', '25', '5', '51', '1']
297 ['6', '59', '52', '25', '5', '51', '1']
298 ['6', '59', '52', '25', '5', '51', '1']
299 ['6', '59', '52', '25', '5', '51', '1']
310 ['6', '59', '52', '25', '51', '5', '4']
311 ['6', '59', '52', '25', '51', '5', '4']
312 ['6', '59', '52', '25', '51', '5', '4']
313 ['6', '59', '52', '25', '51', '5', '4']
314 ['6', '59', '52', '25', '51', '5', '4']
315 ['6', '59', '52', '25', '51', '5', '4']
316 ['6', '59', '52', '25', '51', '5', '4']
317 ['6', '59', '52', '25', '51', '5', '4']
318 ['6', '59', '52', '25', '51', '5', '4']
319 ['6', '59', '52', '25', '51', '5', '4']
330 ['59', '52', '5', '25', '6', '51', '1']
331 ['59', '52', '5', '25', '6', '51', '1']
332 ['59', '52', '5', '25', '6', '51', '1']
333 ['59', '52', '5', '25', '6', '51', '1']
334 ['59', '52', '5', '25', '6', '51', '1']
335 ['59', '52', '5', '25', '6', '51', '1']
336 ['59', '52', '5', '25', '6', '51', '1']
337 ['59', '52', '5', '25', '6', '51', '1']
338 ['59', '52', '5', '25', '6', '51', '1']
339 ['59', '52', '5', '25', '6', '51', '1']
350 ['59', '25', '5', '6', '51', '52', '2']
351 ['59', '25', '5', '6', '51', '52', '2']
352 ['59', '25', '5', '6', '51', '52', '2']
353 ['59', '25', '5', '6', '51', '52', '2']
354 ['59', '25', '5', '6', '51', '52', '2']
355 ['59', '25', '5', '6', '51', '52', '2']
356 ['59', '25', '5', '6', '51', '52', '2']
357 ['59', '25', '5', '6', '51', '52', '2']
358 ['59', '25', '5', '6', '51', '52', '2']
359 ['59', '25', '5', '6', '51', '52', '2']
370 ['25', '5', '6', '52', '59', '51', '19']
371 ['25', '5', '6', '52', '59', '51', '19']
372 ['25', '5', '6', '52', '59', '51', '19']
373 ['25', '5', '6', '52', '59', '51', '19']
374 ['25', '5', '6', '52', '59', '51', '19']
375 ['25', '5', '6', '52', '59', '51', '19']
376 ['25', '5', '6', '52', '59', '51', '19']
377 ['25', '5', '6', '52', '59', '51', '19']
378 ['25', '5', '6', '52', '59', '51', '19']
379 ['25', '5', '6', '52', '59', '51', '19']
390 ['5', '6', '52', '51', '25', '59', '58']
391 ['5', '6', '52', '51', '25', '59', '58']
392 ['5', '6', '52', '51', '25', '59', '58']
393 ['5', '6', '52', '51', '25', '59', '58']
394 ['5', '6', '52', '51', '25', '59', '58']
395 ['5', '6', '52', '51', '25', '59', '58']
396 ['5', '6', '52', '51', '25', '59', '58']
397 ['5', '6', '52', '51', '25', '59', '58']
398 ['5', '6', '52', '51', '25', '59', '58']
399 ['5', '6', '52', '51', '25', '59', '58']
410 ['51', '25', '59', '6', '52', '5', '58']
411 ['51', '25', '59', '6', '52', '5', '58']
412 ['51', '25', '59', '6', '52', '5', '58']
413 ['51', '25', '59', '6', '52', '5', '58']
414 ['51', '25', '59', '6', '52', '5', '58']
415 ['51', '25', '59', '6', '52', '5', '58']
416 ['51', '25', '59', '6', '52', '5', '58']
417 ['51', '25', '59', '6', '52', '5', '58']
418 ['51', '25', '59', '6', '52', '5', '58']
419 ['51', '25', '59', '6', '52', '5', '58']
430 ['51', '25', '59', '6', '52', '5', '45']
431 ['51', '25', '59', '6', '52', '5', '45']
432 ['51', '25', '59', '6', '52', '5', '45']
433 ['51', '25', '59', '6', '52', '5', '45']
434 ['51', '25', '59', '6', '52', '5', '45']
435 ['51', '25', '59', '6', '52', '5', '45']
436 ['51', '25', '59', '6', '52', '5', '45']
437 ['51', '25', '59', '6', '52', '5', '45']
438 ['51', '25', '59', '6', '52', '5', '45']
439 ['51', '25', '59', '6', '52', '5', '45']
450 ['25', '59', '52', '5', '51', '6', '1']
451 ['25', '59', '52', '5', '51', '6', '1']
452 ['25', '59', '52', '5', '51', '6', '1']
453 ['25', '59', '52', '5', '51', '6', '1']
