285 ['29', '21', '49', '6', '9', '9']
286 ['29', '21', '49', '6', '9', '9']
287 ['29', '21', '49', '6', '9', '9']
288 ['29', '21', '49', '6', '9', '9']
289 ['29', '21', '49', '6', '9', '9']
300 ['13', '44', '14', '56', '14', '14']
301 ['13', '44', '14', '56', '14', '14']
302 ['13', '44', '14', '56', '14', '14']
303 ['13', '44', '14', '56', '14', '14']
304 ['13', '44', '14', '56', '14', '14']
305 ['13', '44', '14', '56', '14', '14']
306 ['13', '44', '14', '56', '14', '14']
307 ['13', '44', '14', '56', '14', '14']
308 ['13', '44', '14', '56', '14', '14']
309 ['13', '44', '14', '56', '14', '14']
320 ['32', '40', '51', '40', '46', '17']
321 ['32', '40', '51', '40', '46', '17']
322 ['32', '40', '51', '40', '46', '17']
323 ['32', '40', '51', '40', '46', '17']
324 ['32', '40', '51', '40', '46', '17']
325 ['32', '40', '51', '40', '46', '17']
326 ['32', '40', '51', '40', '46', '17']
327 ['32', '40', '51', '40', '46', '17']
328 ['32', '40', '51', '40', '46', '17']
329 ['32', '40', '51', '40', '46', '17']
340 ['18', '18', '35', '55', '38', '44']
341 ['18', '18', '35', '55', '38', '44']
342 ['18', '18', '35', '55', '38', '44']
343 ['18', '18', '35', '55', '38', '44']
344 ['18', '18', '35', '55', '38', '44']
345 ['18', '18', '35', '55', '38', '44']
346 ['18', '18', '35', '55', '38', '44']
347 ['18', '18', '35', '55', '38', '44']
348 ['18', '18', '35', '55', '38', '44']
349 ['18', '18', '35', '55', '38', '44']
360 ['35', '17', '32', '39', '21', '22']
361 ['35', '17', '32', '39', '21', '22']
362 ['35', '17', '32', '39', '21', '22']
363 ['35', '17', '32', '39', '21', '22']
364 ['35', '17', '32', '39', '21', '22']
365 ['35', '17', '32', '39', '21', '22']
366 ['35', '17', '32', '39', '21', '22']
367 ['35', '17', '32', '39', '21', '22']
368 ['35', '17', '32', '39', '21', '22']
369 ['35', '17', '32', '39', '21', '22']
380 ['35', '61', '43', '19', '53', '28']
381 ['35', '61', '43', '19', '53', '28']
382 ['35', '61', '43', '19', '53', '28']
383 ['35', '61', '43', '19', '53', '28']
384 ['35', '61', '43', '19', '53', '28']
385 ['35', '61', '43', '19', '53', '28']
386 ['35', '61', '43', '19', '53', '28']
387 ['35', '61', '43', '19', '53', '28']
388 ['35', '61', '43', '19', '53', '28']
389 ['35', '61', '43', '19', '53', '28']
400 ['27', '49', '30', '55', '1', '38']
401 ['27', '49', '30', '55', '1', '38']
402 ['27', '49', '30', '55', '1', '38']
403 ['27', '49', '30', '55', '1', '38']
404 ['27', '49', '30', '55', '1', '38']
405 ['27', '49', '30', '55', '1', '38']
406 ['27', '49', '30', '55', '1', '38']
407 ['27', '49', '30', '55', '1', '38']
408 ['27', '49', '30', '55', '1', '38']
409 ['27', '49', '30', '55', '1', '38']
420 ['6', '61', '21', '50', '1', '21']
421 ['6', '61', '21', '50', '1', '21']
422 ['6', '61', '21', '50', '1', '21']
423 ['6', '61', '21', '50', '1', '21']
424 ['6', '61', '21', '50', '1', '21']
425 ['6', '61', '21', '50', '1', '21']
426 ['6', '61', '21', '50', '1', '21']
427 ['6', '61', '21', '50', '1', '21']
428 ['6', '61', '21', '50', '1', '21']
429 ['6', '61', '21', '50', '1', '21']
440 ['21', '16', '9', '41', '61', '46']
441 ['21', '16', '9', '41', '61', '46']
442 ['21', '16', '9', '41', '61', '46']
443 ['21', '16', '9', '41', '61', '46']
444 ['21', '16', '9', '41', '61', '46']
445 ['21', '16', '9', '41', '61', '46']
446 ['21', '16', '9', '41', '61', '46']
447 ['21', '16', '9', '41', '61', '46']
448 ['21', '16', '9', '41', '61', '46']
449 ['21', '16', '9', '41', '61', '46']
460 ['61', '49', '34', '45', '2', '55']
461 ['61', '49', '34', '45', '2', '55']
462 ['61', '49', '34', '45', '2', '55']
463 ['61', '49', '34', '45', '2', '55']
464 ['61', '49', '34', '45', '2', '55']
465 ['61', '49', '34', '45', '2', '55']
466 ['61', '49', '34', '45', '2', '55']
467 ['61', '49', '34', '45', '2', '55']
468 ['61', '49', '34', '45', '2', '55']
469 ['61', '49', '34', '45', '2', '55']
480 ['57', '21', '15', '6', '11', '7']
481 ['57', '21', '15', '6', '11', '7']
482 ['57', '21', '15', '6', '11', '7']
483 ['57', '21', '15', '6', '11', '7']
484 ['57', '21', '15', '6', '11', '7']
485 ['57', '21', '15', '6', '11', '7']
486 ['57', '21', '15', '6', '11', '7']
487 ['57', '21', '15', '6', '11', '7']
488 ['57', '21', '15', '6', '11', '7']
489 ['57', '21', '15', '6', '11', '7']
500 ['6', '8', '16', '0', '11', '36']
501 ['6', '8', '16', '0', '11', '36']
502 ['6', '8', '16', '0', '11', '36']
503 ['6', '8', '16', '0', '11', '36']
504 ['6', '8', '16', '0', '11', '36']
505 ['6', '8', '16', '0', '11', '36']
506 ['6', '8', '16', '0', '11', '36']
507 ['6', '8', '16', '0', '11', '36']
508 ['6', '8', '16', '0', '11', '36']
509 ['6', '8', '16', '0', '11', '36']
520 ['59', '39', '16', '27', '31', '24']
521 ['59', '39', '16', '27', '31', '24']
522 ['59', '39', '16', '27', '31', '24']
523 ['59', '39', '16', '27', '31', '24']
524 ['59', '39', '16', '27', '31', '24']
525 ['59', '39', '16', '27', '31', '24']
526 ['59', '39', '16', '27', '31', '24']
527 ['59', '39', '16', '27', '31', '24']
528 ['59', '39', '16', '27', '31', '24']
529 ['59', '39', '16', '27', '31', '24']
540 ['9', '14', '43', '44', '24', '58']
541 ['9', '14', '43', '44', '24', '58']
542 ['9', '14', '43', '44', '24', '58']
543 ['9', '14', '43', '44', '24', '58']
544 ['9', '14', '43', '44', '24', '58']
545 ['9', '14', '43', '44', '24', '58']
546 ['9', '14', '43', '44', '24', '58']
547 ['9', '14', '43', '44', '24', '58']
548 ['9', '14', '43', '44', '24', '58']
549 ['9', '14', '43', '44', '24', '58']
560 ['14', '30', '29', '54', '38', '3']
561 ['14', '30', '29', '54', '38', '3']
562 ['14', '30', '29', '54', '38', '3']
563 ['14', '30', '29', '54', '38', '3']
564 ['14', '30', '29', '54', '38', '3']
565 ['14', '30', '29', '54', '38', '3']
566 ['14', '30', '29', '54', '38', '3']
567 ['14', '30', '29', '54', '38', '3']
568 ['14', '30', '29', '54', '38', '3']
569 ['14', '30', '29', '54', '38', '3']
580 ['60', '14', '2', '35', '24', '43']
581 ['60', '14', '2', '35', '24', '43']
582 ['60', '14', '2', '35', '24', '43']
583 ['60', '14', '2', '35', '24', '43']
584 ['60', '14', '2', '35', '24', '43']
585 ['60', '14', '2', '35', '24', '43']
586 ['60', '14', '2', '35', '24', '43']
587 ['60', '14', '2', '35', '24', '43']
588 ['60', '14', '2', '35', '24', '43']
589 ['60', '14', '2', '35', '24', '43']
600 ['46', '9', '60', '0', '51', '52']
601 ['46', '9', '60', '0', '51', '52']
602 ['46', '9', '60', '0', '51', '52']
603 ['46', '9', '60', '0', '51', '52']
604 ['46', '9', '60', '0', '51', '52']
605 ['46', '9', '60', '0', '51', '52']
606 ['46', '9', '60', '0', '51', '52']
607 ['46', '9', '60', '0', '51', '52']
608 ['46', '9', '60', '0', '51', '52']
609 ['46', '9', '60', '0', '51', '52']
620 ['51', '52', '11', '16', '11', '47']
621 ['51', '52', '11', '16', '11', '47']
622 ['51', '52', '11', '16', '11', '47']
623 ['51', '52', '11', '16', '11', '47']
624 ['51', '52', '11', '16', '11', '47']
625 ['51', '52', '11', '16', '11', '47']
626 ['51', '52', '11', '16', '11', '47']
627 ['51', '52', '11', '16', '11', '47']
628 ['51', '52', '11', '16', '11', '47']
629 ['51', '52', '11', '16', '11', '47']
640 ['51', '52', '44', '6', '25', '10']
641 ['51', '52', '44', '6', '25', '10']
642 ['51', '52', '44', '6', '25', '10']
643 ['51', '52', '44', '6', '25', '10']
644 ['51', '52', '44', '6', '25', '10']
645 ['51', '52', '44', '6', '25', '10']
646 ['51', '52', '44', '6', '25', '10']
647 ['51', '52', '44', '6', '25', '10']
648 ['51', '52', '44', '6', '25', '10']
649 ['51', '52', '44', '6', '25', '10']
660 ['51', '52', '6', '25', '60', '4']
661 ['51', '52', '6', '25', '60', '4']
662 ['51', '52', '6', '25', '60', '4']
663 ['51', '52', '6', '25', '60', '4']
664 ['51', '52', '6', '25', '60', '4']
665 ['51', '52', '6', '25', '60', '4']
666 ['51', '52', '6', '25', '60', '4']
667 ['51', '52', '6', '25', '60', '4']
668 ['51', '52', '6', '25', '60', '4']
669 ['51', '52', '6', '25', '60', '4']
680 ['6', '25', '52', '51', '42', '54']
681 ['6', '25', '52', '51', '42', '54']
