390 ['52', '51', '6', '25']
391 ['52', '51', '6', '25']
392 ['52', '51', '6', '25']
393 ['52', '51', '6', '25']
404 ['51', '25', '52', '4']
405 ['51', '25', '52', '4']
406 ['51', '25', '52', '4']
407 ['51', '25', '52', '4']
408 ['51', '25', '52', '4']
409 ['25', '52', '51', '54']
410 ['25', '52', '51', '54']
411 ['25', '52', '51', '54']
412 ['25', '52', '51', '54']
413 ['25', '52', '51', '54']
414 ['25', '52', '51', '54']
415 ['25', '52', '51', '54']
416 ['25', '52', '51', '54']
417 ['25', '52', '51', '54']
418 ['25', '52', '51', '54']
419 ['25', '52', '51', '54']
430 ['25', '52', '51', '6']
431 ['25', '52', '51', '6']
432 ['25', '52', '51', '6']
433 ['25', '52', '51', '6']
434 ['25', '52', '51', '6']
435 ['25', '52', '51', '6']
436 ['25', '52', '51', '6']
437 ['25', '52', '51', '6']
438 ['25', '52', '51', '6']
439 ['25', '52', '51', '6']
450 ['52', '51', '25', '1']
451 ['52', '51', '25', '1']
452 ['52', '51', '25', '1']
453 ['52', '51', '25', '1']
454 ['52', '51', '25', '1']
455 ['52', '51', '25', '1']
456 ['52', '51', '25', '1']
457 ['52', '51', '25', '1']
458 ['52', '51', '25', '1']
459 ['52', '51', '25', '1']
470 ['52', '51', '25', '49']
471 ['52', '51', '25', '49']
472 ['52', '51', '25', '49']
473 ['52', '51', '25', '49']
474 ['52', '51', '25', '49']
475 ['52', '51', '25', '49']
476 ['52', '51', '25', '49']
477 ['52', '51', '25', '49']
478 ['52', '51', '25', '49']
479 ['52', '51', '25', '49']
490 ['52', '51', '25', '6']
491 ['52', '51', '25', '6']
492 ['52', '51', '25', '6']
493 ['52', '51', '25', '6']
494 ['52', '51', '25', '6']
495 ['52', '51', '25', '6']
496 ['52', '51', '25', '6']
497 ['52', '51', '25', '6']
498 ['52', '51', '25', '6']
499 ['52', '51', '25', '6']
510 ['52', '6', '51', '55']
511 ['52', '6', '51', '55']
512 ['52', '6', '51', '55']
513 ['52', '6', '51', '55']
514 ['52', '6', '51', '55']
515 ['52', '6', '51', '55']
516 ['52', '6', '51', '55']
517 ['52', '6', '51', '55']
518 ['52', '6', '51', '55']
519 ['52', '6', '51', '55']
530 ['6', '51', '52', '30']
531 ['6', '51', '52', '30']
532 ['6', '51', '52', '30']
533 ['6', '51', '52', '30']
534 ['6', '51', '52', '30']
535 ['6', '51', '52', '30']
536 ['6', '51', '52', '30']
537 ['6', '51', '52', '30']
538 ['6', '51', '52', '30']
539 ['6', '51', '52', '30']
550 ['6', '51', '52', '28']
551 ['6', '51', '52', '28']
552 ['6', '51', '52', '28']
553 ['6', '51', '52', '28']
554 ['6', '51', '52', '28']
555 ['6', '51', '52', '28']
556 ['6', '51', '52', '28']
557 ['6', '51', '52', '28']
558 ['6', '51', '52', '28']
559 ['6', '51', '52', '28']
570 ['52', '51', '57', '29']
571 ['52', '51', '57', '29']
572 ['52', '51', '57', '29']
573 ['52', '51', '57', '29']
574 ['52', '51', '57', '29']
575 ['52', '51', '57', '29']
576 ['52', '51', '57', '29']
577 ['52', '51', '57', '29']
578 ['52', '51', '57', '29']
579 ['52', '51', '57', '29']
590 ['51', '52', '26', '6']
591 ['51', '52', '26', '6']
592 ['51', '52', '26', '6']
593 ['51', '52', '26', '6']
594 ['51', '52', '26', '6']
595 ['51', '52', '26', '6']
596 ['51', '52', '26', '6']
597 ['51', '52', '26', '6']
598 ['51', '52', '26', '6']
599 ['51', '52', '26', '6']
610 ['51', '6', '52', '16']
611 ['51', '6', '52', '16']
612 ['51', '6', '52', '16']
613 ['51', '6', '52', '16']
614 ['51', '6', '52', '16']
615 ['51', '6', '52', '16']
616 ['51', '6', '52', '16']
617 ['51', '6', '52', '16']
618 ['51', '6', '52', '16']
619 ['51', '6', '52', '16']
630 ['52', '51', '6', '25']
631 ['52', '51', '6', '25']
632 ['52', '51', '6', '25']
633 ['52', '51', '6', '25']
634 ['52', '51', '6', '25']
635 ['52', '51', '6', '25']
636 ['52', '51', '6', '25']
637 ['52', '51', '6', '25']
638 ['52', '51', '6', '25']
639 ['52', '51', '6', '25']
650 ['52', '51', '25', '5']
651 ['52', '51', '25', '5']
652 ['52', '51', '25', '5']
653 ['52', '51', '25', '5']
654 ['52', '51', '25', '5']
655 ['52', '51', '25', '54']
656 ['52', '51', '25', '54']
657 ['52', '51', '25', '54']
658 ['52', '51', '25', '54']
659 ['52', '51', '25', '54']
660 ['52', '51', '25', '54']
661 ['52', '51', '25', '54']
662 ['52', '51', '25', '54']
663 ['52', '51', '25', '54']
664 ['52', '51', '25', '54']
665 ['52', '51', '25', '54']
676 ['52', '51', '25', '6']
677 ['52', '51', '25', '6']
678 ['52', '51', '25', '6']
679 ['52', '51', '25', '6']
680 ['52', '51', '25', '6']
681 ['52', '51', '25', '6']
682 ['52', '51', '25', '6']
683 ['52', '51', '25', '6']
684 ['52', '51', '25', '6']
685 ['52', '51', '25', '6']
696 ['52', '51', '6', '38']
697 ['52', '51', '6', '38']
698 ['52', '51', '6', '38']
699 ['52', '51', '6', '38']
700 ['52', '51', '6', '38']
701 ['52', '51', '6', '38']
702 ['52', '51', '6', '38']
703 ['52', '51', '6', '38']
704 ['52', '51', '6', '38']
705 ['52', '51', '6', '38']
716 ['52', '6', '51', '25']
717 ['52', '6', '51', '25']
718 ['52', '6', '51', '25']
719 ['52', '6', '51', '25']
720 ['52', '6', '51', '25']
721 ['52', '6', '51', '25']
722 ['52', '6', '51', '25']
723 ['52', '6', '51', '25']
724 ['52', '6', '51', '25']
725 ['52', '6', '51', '25']
736 ['52', '51', '6', '61']
737 ['52', '51', '6', '61']
738 ['52', '51', '6', '61']
739 ['52', '51', '6', '61']
740 ['52', '51', '6', '61']
741 ['52', '51', '6', '61']
742 ['52', '51', '6', '61']
743 ['52', '51', '6', '61']
744 ['52', '51', '6', '61']
745 ['52', '51', '6', '61']
756 ['52', '51', '6', '11']
757 ['52', '51', '6', '11']
758 ['52', '51', '6', '11']
759 ['52', '51', '6', '11']
760 ['52', '51', '6', '11']
761 ['52', '51', '6', '11']
762 ['52', '51', '6', '11']
763 ['52', '51', '6', '11']
764 ['52', '51', '6', '11']
765 ['52', '51', '6', '11']
776 ['51', '6', '52', '11']
777 ['51', '6', '52', '11']
778 ['51', '6', '52', '11']
779 ['51', '6', '52', '11']
780 ['51', '6', '52', '11']
781 ['51', '6', '52', '11']
782 ['51', '6', '52', '11']
783 ['51', '6', '52', '11']
784 ['51', '6', '52', '11']
785 ['51', '6', '52', '11']
796 ['51', '6', '52', '11']
797 ['51', '6', '52', '11']
798 ['51', '6', '52', '11']
799 ['51', '6', '52', '11']
800 ['51', '6', '52', '11']
801 ['51', '6', '52', '11']
802 ['51', '6', '52', '11']
803 ['51', '6', '52', '11']
804 ['51', '6', '52', '11']
805 ['51', '6', '52', '11']
816 ['6', '51', '52', '16']
817 ['6', '51', '52', '16']
818 ['6', '51', '52', '16']
819 ['6', '51', '52', '16']
820 ['6', '51', '52', '16']
821 ['6', '51', '52', '16']
822 ['6', '51', '52', '16']
823 ['6', '51', '52', '16']
824 ['6', '51', '52', '16']
825 ['6', '51', '52', '16']
836 ['6', '51', '52', '19']
837 ['6', '51', '52', '19']
838 ['6', '51', '52', '19']
839 ['6', '51', '52', '19']
840 ['6', '51', '52', '19']
841 ['6', '51', '52', '19']
842 ['6', '51', '52', '19']
843 ['6', '51', '52', '19']
844 ['6', '51', '52', '19']
845 ['6', '51', '52', '19']
856 ['6', '51', '52', '26']
857 ['6', '51', '52', '26']
858 ['6', '51', '52', '26']
859 ['6', '51', '52', '26']
860 ['6', '51', '52', '26']
861 ['6', '51', '52', '26']
862 ['6', '51', '52', '26']
863 ['6', '51', '52', '26']
864 ['6', '51', '52', '26']
865 ['6', '51', '52', '26']
876 ['6', '51', '52', '4']
877 ['6', '51', '52', '4']
878 ['6', '51', '52', '4']
879 ['6', '51', '52', '4']
880 ['6', '51', '52', '4']
881 ['6', '51', '52', '4']
882 ['6', '51', '52', '25']
883 ['6', '51', '52', '25']
884 ['6', '51', '52', '25']
885 ['6', '51', '52', '25']
886 ['6', '51', '52', '25']
887 ['6', '51', '52', '25']
888 ['6', '51', '52', '25']
889 ['6', '51', '52', '25']
890 ['6', '51', '52', '25']
891 ['6', '51', '52', '25']
892 ['6', '51', '52', '25']
903 ['51', '52', '25', '6']
904 ['51', '52', '25', '6']
905 ['51', '52', '25', '6']
906 ['51', '52', '25', '6']
907 ['51', '52', '25', '6']
908 ['51', '52', '25', '6']
909 ['51', '52', '25', '6']
910 ['51', '52', '25', '6']
911 ['51', '52', '25', '6']
912 ['51', '52', '25', '6']
923 ['51', '6', '52', '48']
924 ['51', '6', '52', '48']
925 ['51', '6', '52', '48']
926 ['51', '6', '52', '48']
927 ['51', '6', '52', '48']
928 ['51', '6', '52', '48']
929 ['51', '6', '52', '48']
930 ['51', '6', '52', '48']
931 ['51', '6', '52', '48']
932 ['51', '6', '52', '48']
943 ['51', '52', '6', '21']
944 ['51', '52', '6', '21']
