0 ['8', '18', '22']
1 ['8', '18', '22']
2 ['8', '18', '22']
3 ['8', '18', '22']
4 ['8', '18', '22']
5 ['8', '18', '22']
6 ['8', '18', '22']
7 ['8', '18', '22']
8 ['8', '18', '22']
9 ['8', '18', '22']
20 ['40', '47', '56']
21 ['40', '47', '56']
22 ['40', '47', '56']
23 ['40', '47', '56']
24 ['40', '47', '56']
25 ['40', '47', '56']
26 ['40', '47', '56']
27 ['40', '47', '56']
28 ['40', '47', '56']
29 ['40', '47', '56']
40 ['20', '36', '48']
41 ['20', '36', '48']
42 ['20', '36', '48']
43 ['20', '36', '48']
44 ['20', '36', '48']
45 ['20', '36', '48']
46 ['20', '36', '48']
47 ['20', '36', '48']
48 ['20', '36', '48']
49 ['20', '36', '48']
60 ['34', '25', '14']
61 ['34', '25', '14']
62 ['34', '25', '14']
63 ['34', '25', '14']
64 ['34', '25', '14']
65 ['34', '25', '14']
66 ['34', '25', '14']
67 ['34', '25', '14']
68 ['34', '25', '14']
69 ['34', '25', '14']
80 ['51', '52', '25']
81 ['51', '52', '25']
82 ['51', '52', '25']
83 ['51', '52', '25']
84 ['51', '52', '25']
85 ['51', '52', '25']
86 ['51', '52', '25']
87 ['51', '52', '25']
88 ['51', '52', '25']
89 ['51', '52', '25']
100 ['38', '26', '10']
101 ['38', '26', '10']
102 ['38', '26', '10']
103 ['38', '26', '10']
104 ['38', '26', '10']
105 ['38', '26', '10']
106 ['38', '26', '10']
107 ['38', '26', '10']
108 ['38', '26', '10']
109 ['38', '26', '10']
120 ['18', '59', '42']
121 ['18', '59', '42']
122 ['18', '59', '42']
123 ['18', '59', '42']
124 ['18', '59', '42']
125 ['18', '59', '42']
126 ['18', '59', '42']
127 ['18', '59', '42']
128 ['18', '59', '42']
129 ['18', '59', '42']
140 ['45', '46', '57']
141 ['45', '46', '57']
142 ['45', '46', '57']
143 ['45', '46', '57']
144 ['45', '46', '57']
145 ['45', '46', '57']
146 ['45', '46', '57']
147 ['45', '46', '57']
148 ['45', '46', '57']
149 ['45', '46', '57']
160 ['26', '11', '23']
161 ['26', '11', '23']
162 ['26', '11', '23']
163 ['26', '11', '23']
164 ['26', '11', '23']
165 ['26', '11', '23']
166 ['26', '11', '23']
167 ['26', '11', '23']
168 ['26', '11', '23']
169 ['26', '11', '23']
180 ['15', '53', '42']
181 ['15', '53', '42']
182 ['15', '53', '42']
183 ['15', '53', '42']
184 ['15', '53', '42']
185 ['15', '53', '42']
186 ['15', '53', '42']
187 ['15', '53', '42']
188 ['15', '53', '42']
189 ['15', '53', '42']
200 ['38', '39', '27']
201 ['38', '39', '27']
202 ['38', '39', '27']
203 ['38', '39', '27']
204 ['38', '39', '27']
205 ['38', '39', '27']
206 ['38', '39', '27']
207 ['38', '39', '27']
208 ['38', '39', '27']
209 ['38', '39', '27']
220 ['31', '54', '8']
221 ['31', '54', '8']
222 ['31', '54', '8']
223 ['31', '54', '8']
224 ['31', '54', '8']
225 ['31', '54', '8']
226 ['31', '54', '8']
227 ['31', '54', '8']
228 ['31', '54', '8']
229 ['31', '54', '8']
240 ['1', '34', '18']
241 ['1', '34', '18']
242 ['1', '34', '18']
243 ['1', '34', '18']
244 ['1', '34', '18']
245 ['1', '34', '18']
246 ['1', '34', '18']
247 ['1', '34', '18']
248 ['1', '34', '18']
249 ['1', '34', '18']
260 ['44', '2', '46']
261 ['44', '2', '46']
262 ['44', '2', '46']
263 ['44', '2', '46']
264 ['44', '2', '46']
265 ['44', '2', '46']
266 ['44', '2', '46']
267 ['44', '2', '46']
268 ['44', '2', '46']
269 ['44', '2', '46']
280 ['18', '20', '11']
281 ['18', '20', '11']
282 ['18', '20', '11']
283 ['18', '20', '11']
284 ['18', '20', '11']
285 ['18', '20', '11']
286 ['18', '20', '11']
287 ['18', '20', '11']
288 ['18', '20', '11']
289 ['18', '20', '11']
300 ['16', '33', '29']
301 ['16', '33', '29']
302 ['16', '33', '29']
303 ['16', '33', '29']
304 ['16', '33', '29']
305 ['16', '33', '29']
306 ['16', '33', '29']
307 ['16', '33', '29']
308 ['16', '33', '29']
309 ['16', '33', '29']
320 ['18', '13', '33']
321 ['18', '13', '33']
322 ['18', '13', '33']
323 ['18', '13', '33']
324 ['18', '13', '33']
325 ['18', '13', '33']
326 ['18', '13', '33']
327 ['18', '13', '33']
328 ['18', '13', '33']
329 ['18', '13', '33']
340 ['9', '19', '52']
341 ['9', '19', '52']
342 ['9', '19', '52']
343 ['9', '19', '52']
344 ['9', '19', '52']
345 ['9', '19', '52']
346 ['9', '19', '52']
347 ['9', '19', '52']
348 ['9', '19', '52']
349 ['9', '19', '52']
360 ['33', '10', '7']
361 ['33', '10', '7']
362 ['33', '10', '7']
363 ['33', '10', '7']
364 ['33', '10', '7']
365 ['33', '10', '7']
366 ['33', '10', '7']
367 ['33', '10', '7']
368 ['33', '10', '7']
369 ['33', '10', '7']
380 ['60', '15', '13']
381 ['60', '15', '13']
382 ['60', '15', '13']
383 ['60', '15', '13']
384 ['60', '15', '13']
385 ['60', '15', '13']
386 ['60', '15', '13']
387 ['60', '15', '13']
388 ['60', '15', '13']
389 ['60', '15', '13']
400 ['36', '46', '9']
401 ['36', '46', '9']
402 ['36', '46', '9']
403 ['36', '46', '9']
404 ['36', '46', '9']
405 ['36', '46', '9']
406 ['36', '46', '9']
407 ['36', '46', '9']
408 ['36', '46', '9']
409 ['36', '46', '9']
420 ['36', '15', '20']
421 ['36', '15', '20']
422 ['36', '15', '20']
423 ['36', '15', '20']
424 ['36', '15', '20']
425 ['36', '15', '20']
426 ['36', '15', '20']
427 ['36', '15', '20']
428 ['36', '15', '20']
429 ['36', '15', '20']
440 ['30', '46', '21']
441 ['30', '46', '21']
442 ['30', '46', '21']
443 ['30', '46', '21']
