0 ['30', '5', '26', '49', '19', '34', '16', '42']
1 ['30', '5', '26', '49', '19', '34', '16', '42']
2 ['30', '5', '26', '49', '19', '34', '16', '42']
3 ['30', '5', '26', '49', '19', '34', '16', '42']
4 ['30', '5', '26', '49', '19', '34', '16', '42']
5 ['30', '5', '26', '49', '19', '34', '16', '42']
6 ['30', '5', '26', '49', '19', '34', '16', '42']
7 ['30', '5', '26', '49', '19', '34', '16', '42']
8 ['30', '5', '26', '49', '19', '34', '16', '42']
9 ['30', '5', '26', '49', '19', '34', '16', '42']
20 ['52', '6', '58', '37', '14', '32', '25', '58']
21 ['52', '6', '58', '37', '14', '32', '25', '58']
22 ['52', '6', '58', '37', '14', '32', '25', '58']
23 ['52', '6', '58', '37', '14', '32', '25', '58']
24 ['52', '6', '58', '37', '14', '32', '25', '58']
25 ['52', '6', '58', '37', '14', '32', '25', '58']
26 ['52', '6', '58', '37', '14', '32', '25', '58']
27 ['52', '6', '58', '37', '14', '32', '25', '58']
28 ['52', '6', '58', '37', '14', '32', '25', '58']
29 ['52', '6', '58', '37', '14', '32', '25', '58']
30 ['52', '6', '58', '37', '14', '32', '25', '58']
41 ['52', '6', '25', '37', '54', '8', '19', '7']
42 ['52', '6', '25', '37', '54', '8', '19', '7']
43 ['52', '6', '25', '37', '54', '8', '19', '7']
44 ['52', '6', '25', '37', '54', '8', '19', '7']
45 ['52', '6', '25', '1', '18', '1', '14', '51']
46 ['52', '6', '25', '1', '18', '1', '14', '51']
47 ['52', '6', '25', '1', '18', '1', '14', '51']
48 ['52', '6', '25', '1', '18', '1', '14', '51']
49 ['52', '6', '25', '1', '18', '1', '14', '51']
50 ['52', '6', '25', '1', '18', '1', '14', '51']
51 ['52', '6', '25', '1', '18', '1', '14', '51']
52 ['52', '6', '25', '1', '18', '1', '14', '51']
53 ['52', '6', '25', '1', '18', '1', '14', '51']
54 ['52', '6', '25', '1', '18', '1', '14', '51']
55 ['52', '6', '25', '1', '18', '1', '14', '51']
66 ['6', '25', '1', '51', '23', '4', '52', '57']
67 ['6', '25', '1', '51', '23', '4', '52', '57']
68 ['6', '25', '1', '51', '23', '4', '52', '57']
69 ['1', '51', '52', '6', '37', '25', '57', '59']
70 ['1', '51', '52', '6', '37', '25', '57', '59']
71 ['1', '51', '52', '6', '37', '25', '57', '59']
72 ['1', '51', '52', '6', '37', '25', '57', '59']
73 ['1', '51', '52', '6', '37', '25', '57', '59']
74 ['1', '51', '52', '6', '37', '25', '57', '59']
75 ['1', '51', '52', '6', '37', '25', '57', '59']
76 ['1', '51', '52', '6', '37', '25', '57', '59']
77 ['1', '51', '52', '6', '37', '25', '57', '59']
78 ['1', '51', '52', '6', '37', '25', '57', '59']
79 ['1', '51', '52', '6', '37', '25', '57', '59']
90 ['1', '51', '52', '6', '59', '25', '46', '5']
91 ['1', '51', '52', '6', '59', '25', '46', '5']
92 ['1', '51', '52', '6', '59', '25', '46', '5']
93 ['1', '51', '52', '6', '59', '25', '46', '5']
94 ['1', '51', '52', '6', '59', '25', '46', '5']
95 ['1', '51', '52', '6', '59', '25', '46', '5']
96 ['1', '51', '52', '6', '59', '25', '46', '5']
97 ['1', '51', '52', '6', '59', '25', '46', '5']
98 ['1', '51', '52', '6', '59', '25', '46', '5']
99 ['1', '51', '52', '6', '59', '25', '46', '5']
110 ['52', '6', '25', '51', '59', '5', '1', '58']
111 ['52', '6', '25', '51', '59', '5', '1', '58']
112 ['52', '6', '25', '51', '59', '5', '1', '58']
113 ['52', '6', '25', '51', '59', '5', '1', '58']
114 ['52', '6', '25', '51', '59', '5', '1', '58']
115 ['52', '6', '25', '51', '59', '5', '1', '58']
116 ['52', '6', '25', '51', '59', '5', '1', '58']
117 ['52', '6', '25', '51', '59', '5', '1', '58']
118 ['52', '6', '25', '51', '59', '5', '1', '58']
119 ['52', '6', '25', '51', '59', '5', '1', '58']
