486 ['39', '25', '61']
487 ['39', '25', '61']
488 ['39', '25', '61']
489 ['39', '25', '61']
500 ['60', '36', '45']
501 ['60', '36', '45']
502 ['60', '36', '45']
503 ['60', '36', '45']
504 ['60', '36', '45']
505 ['60', '36', '45']
506 ['60', '36', '45']
507 ['60', '36', '45']
508 ['60', '36', '45']
509 ['60', '36', '45']
520 ['35', '42', '5']
521 ['35', '42', '5']
522 ['35', '42', '5']
523 ['35', '42', '5']
524 ['35', '42', '5']
525 ['35', '42', '5']
526 ['35', '42', '5']
527 ['35', '42', '5']
528 ['35', '42', '5']
529 ['35', '42', '5']
540 ['58', '41', '27']
541 ['58', '41', '27']
542 ['58', '41', '27']
543 ['58', '41', '27']
544 ['58', '41', '27']
545 ['58', '41', '27']
546 ['58', '41', '27']
547 ['58', '41', '27']
548 ['58', '41', '27']
549 ['58', '41', '27']
560 ['25', '49', '38']
561 ['25', '49', '38']
562 ['25', '49', '38']
563 ['25', '49', '38']
564 ['25', '49', '38']
565 ['25', '49', '38']
566 ['25', '49', '38']
567 ['25', '49', '38']
568 ['25', '49', '38']
569 ['25', '49', '38']
580 ['3', '15', '13']
581 ['3', '15', '13']
582 ['3', '15', '13']
583 ['3', '15', '13']
584 ['3', '15', '13']
585 ['3', '15', '13']
586 ['3', '15', '13']
587 ['3', '15', '13']
588 ['3', '15', '13']
589 ['3', '15', '13']
600 ['42', '7', '53']
601 ['42', '7', '53']
602 ['42', '7', '53']
603 ['42', '7', '53']
604 ['42', '7', '53']
605 ['42', '7', '53']
606 ['42', '7', '53']
607 ['42', '7', '53']
608 ['42', '7', '53']
609 ['42', '7', '53']
620 ['12', '1', '14']
621 ['12', '1', '14']
622 ['12', '1', '14']
623 ['12', '1', '14']
624 ['12', '1', '14']
625 ['12', '1', '14']
626 ['12', '1', '14']
627 ['12', '1', '14']
628 ['12', '1', '14']
629 ['12', '1', '14']
640 ['45', '31', '59']
641 ['45', '31', '59']
642 ['45', '31', '59']
643 ['45', '31', '59']
644 ['45', '31', '59']
645 ['45', '31', '59']
646 ['45', '31', '59']
647 ['45', '31', '59']
648 ['45', '31', '59']
649 ['45', '31', '59']
660 ['56', '22', '34']
661 ['56', '22', '34']
662 ['56', '22', '34']
663 ['56', '22', '34']
664 ['56', '22', '34']
665 ['56', '22', '34']
666 ['56', '22', '34']
667 ['56', '22', '34']
668 ['56', '22', '34']
669 ['56', '22', '34']
680 ['28', '53', '14']
681 ['28', '53', '14']
682 ['28', '53', '14']
683 ['28', '53', '14']
684 ['28', '53', '14']
685 ['28', '53', '14']
686 ['28', '53', '14']
687 ['28', '53', '14']
688 ['28', '53', '14']
689 ['28', '53', '14']
700 ['38', '54', '59']
701 ['38', '54', '59']
702 ['38', '54', '59']
703 ['38', '54', '59']
704 ['38', '54', '59']
705 ['38', '54', '59']
706 ['38', '54', '59']
707 ['38', '54', '59']
708 ['38', '54', '59']
709 ['38', '54', '59']
720 ['12', '46', '17']
721 ['12', '46', '17']
722 ['12', '46', '17']
723 ['12', '46', '17']
724 ['12', '46', '17']
725 ['12', '46', '17']
726 ['12', '46', '17']
727 ['12', '46', '17']
728 ['12', '46', '17']
729 ['12', '46', '17']
740 ['57', '31', '61']
741 ['57', '31', '61']
742 ['57', '31', '61']
743 ['57', '31', '61']
744 ['57', '31', '61']
745 ['57', '31', '61']
746 ['57', '31', '61']
747 ['57', '31', '61']
748 ['57', '31', '61']
749 ['57', '31', '61']
760 ['60', '35', '46']
761 ['60', '35', '46']
762 ['60', '35', '46']
763 ['60', '35', '46']
764 ['60', '35', '46']
765 ['60', '35', '46']
766 ['60', '35', '46']
767 ['60', '35', '46']
768 ['60', '35', '46']
769 ['60', '35', '46']
780 ['21', '28', '1']
781 ['21', '28', '1']
782 ['21', '28', '1']
783 ['21', '28', '1']
784 ['21', '28', '1']
785 ['21', '28', '1']
786 ['21', '28', '1']
787 ['21', '28', '1']
788 ['21', '28', '1']
789 ['21', '28', '1']
800 ['27', '20', '32']
801 ['27', '20', '32']
802 ['27', '20', '32']
803 ['27', '20', '32']
804 ['27', '20', '32']
805 ['27', '20', '32']
806 ['27', '20', '32']
807 ['27', '20', '32']
808 ['27', '20', '32']
809 ['27', '20', '32']
820 ['52', '5', '52']
821 ['52', '5', '52']
822 ['52', '5', '52']
823 ['52', '5', '52']
824 ['52', '5', '52']
825 ['52', '5', '52']
826 ['52', '5', '52']
827 ['52', '5', '52']
828 ['52', '5', '52']
829 ['52', '5', '52']
840 ['47', '6', '23']
841 ['47', '6', '23']
842 ['47', '6', '23']
843 ['47', '6', '23']
844 ['47', '6', '23']
845 ['47', '6', '23']
846 ['47', '6', '23']
847 ['47', '6', '23']
848 ['47', '6', '23']
849 ['47', '6', '23']
860 ['35', '19', '37']
861 ['35', '19', '37']
862 ['35', '19', '37']
863 ['35', '19', '37']
864 ['35', '19', '37']
865 ['35', '19', '37']
866 ['35', '19', '37']
867 ['35', '19', '37']
868 ['35', '19', '37']
869 ['35', '19', '37']
880 ['39', '50', '53']
881 ['39', '50', '53']
882 ['39', '50', '53']
883 ['39', '50', '53']
884 ['39', '50', '53']
885 ['39', '50', '53']
886 ['39', '50', '53']
887 ['39', '50', '53']
888 ['39', '50', '53']
889 ['39', '50', '53']
900 ['43', '45', '7']
901 ['43', '45', '7']
902 ['43', '45', '7']
903 ['43', '45', '7']
904 ['43', '45', '7']
905 ['43', '45', '7']
