0 ['15', '12', '48']
1 ['15', '12', '48']
2 ['15', '12', '48']
3 ['15', '12', '48']
4 ['15', '12', '48']
5 ['15', '12', '48']
6 ['15', '12', '48']
7 ['15', '12', '48']
8 ['15', '12', '48']
9 ['15', '12', '48']
20 ['30', '44', '60']
21 ['30', '44', '60']
22 ['30', '44', '60']
23 ['30', '44', '60']
24 ['30', '44', '60']
25 ['30', '44', '60']
26 ['30', '44', '60']
27 ['30', '44', '60']
28 ['30', '44', '60']
29 ['30', '44', '60']
40 ['39', '4', '6']
41 ['39', '4', '6']
42 ['39', '4', '6']
43 ['39', '4', '6']
44 ['39', '4', '6']
45 ['39', '4', '6']
46 ['39', '4', '6']
47 ['39', '4', '6']
48 ['39', '4', '6']
49 ['39', '4', '6']
60 ['23', '25', '54']
61 ['23', '25', '54']
62 ['23', '25', '54']
63 ['23', '25', '54']
64 ['23', '25', '54']
65 ['23', '25', '54']
66 ['23', '25', '54']
67 ['23', '25', '54']
68 ['23', '25', '54']
69 ['23', '25', '54']
80 ['2', '6', '43']
81 ['2', '6', '43']
82 ['2', '6', '43']
83 ['2', '6', '43']
84 ['2', '6', '43']
85 ['2', '6', '43']
86 ['2', '6', '43']
87 ['2', '6', '43']
88 ['2', '6', '43']
89 ['2', '6', '43']
100 ['50', '44', '5']
101 ['50', '44', '5']
102 ['50', '44', '5']
103 ['50', '44', '5']
104 ['50', '44', '5']
105 ['50', '44', '5']
106 ['50', '44', '5']
107 ['50', '44', '5']
108 ['50', '44', '5']
109 ['50', '44', '5']
120 ['29', '44', '12']
121 ['29', '44', '12']
122 ['29', '44', '12']
123 ['29', '44', '12']
124 ['29', '44', '12']
125 ['29', '44', '12']
126 ['29', '44', '12']
127 ['29', '44', '12']
128 ['29', '44', '12']
129 ['29', '44', '12']
140 ['50', '23', '52']
141 ['50', '23', '52']
142 ['50', '23', '52']
143 ['50', '23', '52']
144 ['50', '23', '52']
145 ['50', '23', '52']
146 ['50', '23', '52']
147 ['50', '23', '52']
148 ['50', '23', '52']
149 ['50', '23', '52']
160 ['14', '56', '57']
161 ['14', '56', '57']
162 ['14', '56', '57']
163 ['14', '56', '57']
164 ['14', '56', '57']
165 ['14', '56', '57']
166 ['14', '56', '57']
167 ['14', '56', '57']
168 ['14', '56', '57']
169 ['14', '56', '57']
180 ['55', '50', '50']
181 ['55', '50', '50']
182 ['55', '50', '50']
183 ['55', '50', '50']
184 ['55', '50', '50']
185 ['55', '50', '50']
186 ['55', '50', '50']
187 ['55', '50', '50']
188 ['55', '50', '50']
189 ['55', '50', '50']
200 ['52', '11', '46']
201 ['52', '11', '46']
202 ['52', '11', '46']
203 ['52', '11', '46']
204 ['52', '11', '46']
205 ['52', '11', '46']
206 ['52', '11', '46']
207 ['52', '11', '46']
208 ['52', '11', '46']
209 ['52', '11', '46']
220 ['26', '30', '42']
221 ['26', '30', '42']
222 ['26', '30', '42']
223 ['26', '30', '42']
224 ['26', '30', '42']
225 ['26', '30', '42']
226 ['26', '30', '42']
227 ['26', '30', '42']
228 ['26', '30', '42']
229 ['26', '30', '42']
240 ['47', '43', '3']
241 ['47', '43', '3']
242 ['47', '43', '3']
243 ['47', '43', '3']
244 ['47', '43', '3']
245 ['47', '43', '3']
246 ['47', '43', '3']
247 ['47', '43', '3']
248 ['47', '43', '3']
249 ['47', '43', '3']
260 ['8', '60', '10']
261 ['8', '60', '10']
262 ['8', '60', '10']
263 ['8', '60', '10']
264 ['8', '60', '10']
265 ['8', '60', '10']
