0 ['5', '59', '3', '29']
1 ['5', '59', '3', '29']
2 ['5', '59', '3', '29']
3 ['5', '59', '3', '29']
4 ['5', '59', '3', '29']
5 ['5', '59', '3', '29']
6 ['5', '59', '3', '29']
7 ['5', '59', '3', '29']
8 ['5', '59', '3', '29']
9 ['5', '59', '3', '29']
20 ['37', '61', '46', '1']
21 ['37', '61', '46', '1']
22 ['37', '61', '46', '1']
23 ['37', '61', '46', '1']
24 ['37', '61', '46', '1']
25 ['37', '61', '46', '1']
26 ['37', '61', '46', '1']
27 ['37', '61', '46', '1']
28 ['37', '61', '46', '1']
29 ['37', '61', '46', '1']
40 ['19', '17', '47', '19']
41 ['19', '17', '47', '19']
42 ['19', '17', '47', '19']
43 ['19', '17', '47', '19']
44 ['19', '17', '47', '19']
45 ['19', '17', '47', '19']
46 ['19', '17', '47', '19']
47 ['19', '17', '47', '19']
48 ['19', '17', '47', '19']
49 ['19', '17', '47', '19']
60 ['19', '35', '18', '23']
61 ['19', '35', '18', '23']
62 ['19', '35', '18', '23']
63 ['19', '35', '18', '23']
64 ['19', '35', '18', '23']
65 ['19', '35', '18', '23']
66 ['19', '35', '18', '23']
67 ['19', '35', '18', '23']
68 ['19', '35', '18', '23']
69 ['19', '35', '18', '23']
80 ['33', '52', '41', '23']
81 ['33', '52', '41', '23']
82 ['33', '52', '41', '23']
83 ['33', '52', '41', '23']
84 ['33', '52', '41', '23']
85 ['33', '52', '41', '23']
86 ['33', '52', '41', '23']
87 ['33', '52', '41', '23']
88 ['33', '52', '41', '23']
89 ['33', '52', '41', '23']
100 ['25', '49', '25', '19']
101 ['25', '49', '25', '19']
102 ['25', '49', '25', '19']
103 ['25', '49', '25', '19']
104 ['25', '49', '25', '19']
105 ['25', '49', '25', '19']
106 ['25', '49', '25', '19']
107 ['25', '49', '25', '19']
108 ['25', '49', '25', '19']
109 ['25', '49', '25', '19']
120 ['55', '4', '42', '45']
121 ['55', '4', '42', '45']
122 ['55', '4', '42', '45']
123 ['55', '4', '42', '45']
124 ['55', '4', '42', '45']
125 ['55', '4', '42', '45']
126 ['55', '4', '42', '45']
127 ['55', '4', '42', '45']
128 ['55', '4', '42', '45']
129 ['55', '4', '42', '45']
140 ['27', '45', '4', '0']
141 ['27', '45', '4', '0']
142 ['27', '45', '4', '0']
143 ['27', '45', '4', '0']
144 ['27', '45', '4', '0']
145 ['27', '45', '4', '0']
146 ['27', '45', '4', '0']
147 ['27', '45', '4', '0']
148 ['27', '45', '4', '0']
149 ['27', '45', '4', '0']
160 ['24', '45', '8', '8']
161 ['24', '45', '8', '8']
162 ['24', '45', '8', '8']
163 ['24', '45', '8', '8']
164 ['24', '45', '8', '8']
165 ['24', '45', '8', '8']
166 ['24', '45', '8', '8']
167 ['24', '45', '8', '8']
168 ['24', '45', '8', '8']
169 ['24', '45', '8', '8']
180 ['10', '19', '22', '30']
181 ['10', '19', '22', '30']
182 ['10', '19', '22', '30']
183 ['10', '19', '22', '30']
184 ['10', '19', '22', '30']
185 ['10', '19', '22', '30']
186 ['10', '19', '22', '30']
187 ['10', '19', '22', '30']
188 ['10', '19', '22', '30']
189 ['10', '19', '22', '30']
200 ['17', '61', '54', '1']
201 ['17', '61', '54', '1']
202 ['17', '61', '54', '1']
203 ['17', '61', '54', '1']
204 ['17', '61', '54', '1']
205 ['17', '61', '54', '1']
206 ['17', '61', '54', '1']
207 ['17', '61', '54', '1']
208 ['17', '61', '54', '1']
209 ['17', '61', '54', '1']
220 ['49', '25', '15', '34']
221 ['49', '25', '15', '34']
222 ['49', '25', '15', '34']
223 ['49', '25', '15', '34']
224 ['49', '25', '15', '34']
225 ['49', '25', '15', '34']
226 ['49', '25', '15', '34']
227 ['49', '25', '15', '34']
228 ['49', '25', '15', '34']
229 ['49', '25', '15', '34']
240 ['41', '18', '6', '0']
241 ['41', '18', '6', '0']
242 ['41', '18', '6', '0']
243 ['41', '18', '6', '0']
244 ['41', '18', '6', '0']
245 ['41', '18', '6', '0']
246 ['41', '18', '6', '0']
247 ['41', '18', '6', '0']
248 ['41', '18', '6', '0']
249 ['41', '18', '6', '0']
260 ['54', '5', '46', '14']
261 ['54', '5', '46', '14']
262 ['54', '5', '46', '14']
263 ['54', '5', '46', '14']
264 ['54', '5', '46', '14']
265 ['54', '5', '46', '14']
266 ['54', '5', '46', '14']
267 ['54', '5', '46', '14']
268 ['54', '5', '46', '14']
